timestamp,open,high,low,close,adjusted close,volume,dividend amount
2018-02-02,167.4500,168.3900,158.8700,159.0300,105.6831,21842492,0.0000
2018-01-26,161.5100,168.7200,161.1100,167.3400,111.2055,28170112,0.0000
2018-01-19,165.1000,171.1300,161.3000,162.3700,107.9027,51246304,0.0000
2018-01-12,162.6600,164.9400,161.7000,163.1400,108.4144,22376145,0.0000
2018-01-05,154.5000,162.9000,153.5400,162.4900,107.9824,26160206,0.0000
2017-12-29,152.5100,154.7200,152.5000,153.4200,101.9550,10573732,0.0000
2017-12-22,153.4100,154.1800,151.4900,152.5000,101.3436,20045931,0.0000
2017-12-15,154.9700,157.8500,152.0300,152.5000,101.3436,31101402,0.0000
2017-12-08,155.6700,156.8000,153.2600,154.8100,102.8787,20236835,0.0000
2017-12-01,152.0600,155.0200,151.6200,154.7600,102.8455,24386604,0.0000
2017-11-24,150.6400,152.4500,149.9000,151.8400,100.9050,13728716,0.0000
2017-11-17,148.8800,150.1500,146.2110,148.9700,98.9977,23731918,0.0000
2017-11-10,151.7700,151.8200,149.1400,149.1600,99.1240,21891991,1.5000
2017-11-03,153.7600,154.9300,151.4900,151.5800,99.7368,19467703,0.0000
2017-10-27,162.0500,162.5100,152.9110,153.6800,101.1186,28529638,0.0000
2017-10-20,147.2200,162.4800,146.1800,162.0700,106.6391,56148944,0.0000
2017-10-13,146.5000,148.9500,146.3500,147.1000,96.7891,16128636,0.0000
2017-10-06,145.3500,147.5400,145.2100,146.4800,96.3811,12252293,0.0000
2017-09-29,145.1200,147.4200,144.2100,145.0800,95.4599,18131168,0.0000
2017-09-22,144.8100,145.8911,144.2200,145.1300,95.4928,16890140,0.0000
2017-09-15,143.5400,146.3800,143.0100,144.8200,95.2889,24882951,0.0000
2017-09-08,143.5000,144.6400,141.6400,142.4500,93.7295,13803467,0.0000
2017-09-01,144.1100,144.5600,141.9000,144.0800,94.8020,17765494,0.0000
2017-08-25,139.5900,144.1900,139.1300,143.7400,94.5783,15927109,0.0000
2017-08-18,142.0000,143.3400,139.5800,139.7000,91.9200,18585485,0.0000
2017-08-11,145.0000,145.0900,141.1900,141.8400,93.3281,18161288,1.5000
2017-08-04,144.3800,145.6700,144.1700,145.1600,94.5150,16503121,0.0000
2017-07-28,147.0000,147.4900,143.6400,144.2900,93.9485,21206630,0.0000
2017-07-21,153.5900,154.2900,146.5100,147.0800,95.7651,39223438,0.0000
2017-07-14,152.9100,154.6150,152.0500,154.2400,100.4270,15015697,0.0000
2017-07-07,153.5800,156.0250,152.1400,152.9400,99.5806,11462576,0.0000
2017-06-30,154.7100,155.7500,153.1400,153.8300,100.1601,13465670,0.0000
2017-06-23,155.5100,155.8600,153.3900,154.1100,100.3424,18294998,0.0000
2017-06-16,154.1900,157.2000,152.9400,155.3800,101.1693,23761609,0.0000
2017-06-09,151.8200,154.2650,150.8000,154.1000,100.3359,20653101,0.0000
2017-06-02,151.9500,153.2000,151.5900,152.0500,99.0011,13583558,0.0000
2017-05-26,152.1000,153.7300,151.2300,152.4900,99.2876,14563625,0.0000
2017-05-19,150.6200,154.1400,150.1100,151.9800,98.9555,23606431,0.0000
2017-05-12,152.8000,153.4700,149.7900,150.3700,97.9072,28432713,1.5000
2017-05-05,160.0500,160.4200,153.0000,155.0500,99.9745,28746997,0.0000
2017-04-28,161.2900,162.0400,159.6300,160.2900,103.3532,22585454,0.0000
2017-04-21,169.7500,171.6900,159.6000,160.3800,103.4112,41444548,0.0000
2017-04-13,172.5300,172.5600,168.9800,169.5300,109.3110,15162492,0.0000
2017-04-07,173.8200,176.3300,171.2800,172.1400,110.9939,20657952,0.0000
2017-03-31,172.6900,175.0000,172.0937,174.1400,112.2835,15949938,0.0000
2017-03-24,175.6500,176.2300,172.8000,173.8300,112.0836,16816026,0.0000
2017-03-17,177.8500,179.0000,174.7500,175.6500,113.2571,20678038,0.0000
2017-03-10,179.7200,181.2900,175.8800,177.8300,114.6628,18283618,0.0000
2017-03-03,181.1900,182.5500,179.2800,180.0500,116.0942,14713309,0.0000
2017-02-24,180.6000,182.5000,179.1200,181.3500,116.9324,13082284,0.0000
2017-02-17,179.2400,182.7900,178.3500,180.6700,116.4940,15587334,0.0000
2017-02-10,175.3100,178.8701,174.3800,178.6800,115.2108,15458288,1.4000
2017-02-03,176.9800,177.0700,172.8900,175.8200,112.4729,16952754,0.0000
2017-01-27,170.0800,179.2500,170.0100,177.3000,113.4197,24898161,0.0000
2017-01-20,166.6900,170.6400,165.8000,170.5500,109.1017,26891514,0.0000
2017-01-13,169.4700,169.8000,165.3400,167.3400,107.0482,16710843,0.0000
2017-01-06,167.0000,169.9200,166.0100,169.5300,108.4492,11943248,0.0000
2016-12-30,166.9800,167.9800,165.5000,165.9900,106.1846,7770697,0.0000
2016-12-23,166.8300,168.2500,165.2500,166.7100,106.6452,13209502,0.0000
2016-12-16,166.7200,169.9520,165.0700,166.7300,106.6580,23953742,0.0000
2016-12-09,160.8500,166.7200,158.9300,166.5200,106.5237,17154330,0.0000
2016-12-02,163.2000,164.6600,158.3000,160.0200,102.3656,19370850,0.0000
2016-11-25,160.6900,163.1900,160.3697,163.1400,104.3615,11269212,0.0000
2016-11-18,161.2500,161.8600,157.5500,160.3900,102.6023,16168917,0.0000
2016-11-11,153.9900,161.3400,151.0000,161.2700,103.1652,25292112,1.4000
2016-11-04,152.7600,154.3300,151.6700,152.4300,96.6383,15168515,0.0000
2016-10-28,150.4000,154.4400,149.8300,152.6100,96.7524,16009359,0.0000
2016-10-21,154.4500,155.8900,147.7900,149.6300,94.8632,31731091,0.0000
2016-10-14,156.7100,158.4900,152.2700,154.4500,97.9190,15614452,0.0000
2016-10-07,158.0600,158.5300,154.8600,155.6700,98.6924,11417766,0.0000
2016-09-30,154.4600,165.0000,153.4600,158.8500,100.7085,15801644,0.0000
2016-09-23,154.8700,157.2200,153.8700,154.9800,98.2550,12476162,0.0000
2016-09-16,155.2600,158.5300,153.2100,153.8400,97.5322,21990587,0.0000
2016-09-09,159.8800,161.7600,155.6500,155.6900,98.7051,15009419,0.0000
2016-09-02,158.8300,160.5700,158.1000,159.5500,101.1523,11286596,0.0000
2016-08-26,160.0000,161.3400,157.8500,158.3200,100.3725,13571765,0.0000
2016-08-19,162.4000,162.9700,159.5200,160.0400,101.4629,14873739,0.0000
2016-08-12,162.7300,164.9500,161.5200,161.9500,102.6739,19554950,1.4000
2016-08-05,160.6500,163.5100,159.8000,163.5000,102.7686,15067283,0.0000
2016-07-29,162.0000,163.6000,160.0300,160.6200,100.9584,13747991,0.0000
2016-07-22,159.3000,162.1700,157.8900,162.0700,101.8698,24775973,0.0000
2016-07-15,154.6000,161.4000,154.5000,159.7800,100.4304,18535456,0.0000
2016-07-08,151.1900,154.6000,149.9200,154.4600,97.0865,10213227,0.0000
2016-07-01,146.1800,152.9700,142.5000,152.3500,95.7603,19155814,0.0000
2016-06-24,152.6000,155.4800,146.1800,146.5900,92.1398,22214411,0.0000
2016-06-17,151.6300,152.7200,149.0000,151.9900,95.5340,15849580,0.0000
2016-06-10,153.0900,154.0900,151.8600,152.3700,95.7728,14920842,0.0000
2016-06-03,152.5600,153.8100,151.5400,152.8900,96.0997,13470239,0.0000
2016-05-27,147.6100,152.9300,146.6600,152.8400,96.0682,14910875,0.0000
2016-05-20,147.6500,149.9900,143.9550,147.2500,92.5546,16406443,0.0000
2016-05-13,147.7000,151.0900,147.0100,147.7200,92.8500,17034303,0.0000
2016-05-06,146.5600,147.9700,142.9000,147.2900,92.5798,21059912,1.4000
2016-04-29,148.1600,150.7800,144.1910,145.9400,90.8675,16956550,0.0000
2016-04-22,151.7500,153.1400,142.6100,148.5000,92.4615,37688644,0.0000
2016-04-15,150.2600,152.7600,148.5800,151.7200,94.4664,17443203,0.0000
2016-04-08,152.3400,153.5200,147.8100,149.3500,92.9907,18417556,0.0000
2016-04-01,147.7500,153.1000,147.2300,152.5200,94.9645,20439783,0.0000
