time,MINUS_DI
2022-12-22,37.1742
2022-12-21,33.2780
2022-12-20,35.8163
2022-12-19,39.8019
2022-12-16,38.0477
2022-12-15,33.1997
2022-12-14,14.4479
2022-12-13,9.6762
2022-12-12,11.6829
2022-12-09,13.0652
2022-12-08,11.9810
2022-12-07,13.0949
2022-12-06,12.2619
2022-12-05,12.4213
2022-12-02,9.4224
2022-12-01,10.0026
2022-11-30,11.1570
2022-11-29,13.1948
2022-11-28,13.0120
2022-11-25,4.8908
2022-11-23,4.3426
2022-11-22,4.7269
2022-11-21,5.2432
2022-11-18,5.5448
2022-11-17,6.0469
2022-11-16,6.7245
2022-11-15,6.9498
2022-11-14,7.3530
2022-11-11,8.4482
2022-11-10,9.4812
2022-11-09,11.0013
2022-11-08,11.3207
2022-11-07,12.4389
2022-11-04,13.4499
2022-11-03,15.0934
2022-11-02,6.1387
2022-11-01,6.9227
2022-10-31,7.4159
2022-10-28,7.9871
2022-10-27,9.1848
2022-10-26,9.8180
2022-10-25,10.8713
2022-10-24,11.6054
2022-10-21,12.8813
2022-10-20,14.2935
2022-10-19,17.7673
2022-10-18,19.0272
2022-10-17,20.6614
2022-10-14,22.7188
2022-10-13,24.8388
2022-10-12,31.2615
2022-10-11,33.1414
2022-10-10,35.5413
2022-10-07,35.5696
2022-10-06,27.1889
2022-10-05,21.7678
2022-10-04,23.6300
2022-10-03,27.5711
2022-09-30,31.4478
2022-09-29,28.1559
2022-09-28,30.7890
2022-09-27,29.8287
2022-09-26,30.6654
2022-09-23,34.1320
2022-09-22,27.2530
2022-09-21,27.5449
2022-09-20,31.4125
2022-09-19,31.0977
2022-09-16,33.6797
2022-09-15,34.5551
2022-09-14,29.5418
2022-09-13,32.7924
2022-09-12,22.4761
2022-09-09,24.7164
2022-09-08,26.6131
2022-09-07,29.3801
2022-09-06,31.6976
2022-09-02,29.7511
2022-09-01,35.0923
2022-08-31,35.4657
2022-08-30,33.7612
2022-08-29,34.8850
2022-08-26,34.2577
2022-08-25,26.5004
2022-08-24,28.1882
2022-08-23,22.6834
2022-08-22,20.4695
2022-08-19,12.0812
2022-08-18,13.1238
2022-08-17,14.0114
2022-08-16,15.4644
2022-08-15,17.7504
2022-08-12,20.5085
2022-08-11,22.7879
2022-08-10,24.8173
2022-08-09,27.8013
2022-08-08,24.0505
2022-08-05,25.6002
2022-08-04,27.5202
2022-08-03,27.8028
2022-08-02,29.6404
2022-08-01,31.6818
2022-07-29,34.2915
2022-07-28,36.7139
2022-07-27,38.3637
2022-07-26,40.9056
2022-07-25,42.3131
2022-07-22,43.9653
2022-07-21,47.5216
2022-07-20,44.3603
2022-07-19,48.2076
2022-07-18,28.5871
2022-07-15,28.1894
2022-07-14,30.3606
2022-07-13,28.6275
2022-07-12,24.4432
2022-07-11,21.2041
2022-07-08,22.5749
2022-07-07,23.7671
2022-07-06,26.4906
2022-07-05,28.2984
2022-07-01,19.6124
2022-06-30,21.2613
2022-06-29,22.9305
2022-06-28,19.5215
2022-06-27,19.2318
2022-06-24,20.5472
2022-06-23,23.5816
2022-06-22,25.4030
2022-06-21,27.3297
2022-06-17,30.7242
2022-06-16,29.7202
2022-06-15,28.2696
2022-06-14,31.2201
2022-06-13,33.5127
2022-06-10,32.7464
2022-06-09,26.3888
2022-06-08,21.4299
2022-06-07,20.5865
2022-06-06,18.4971
2022-06-03,20.7124
2022-06-02,22.6664
2022-06-01,19.6989
2022-05-31,20.9228
2022-05-27,21.5566
2022-05-26,23.4441
2022-05-25,25.6893
2022-05-24,27.1402
2022-05-23,30.2378
2022-05-20,33.2370
2022-05-19,29.1816
2022-05-18,22.6130
2022-05-17,16.0370
2022-05-16,17.7320
2022-05-13,20.0762
2022-05-12,21.8173
2022-05-11,24.0043
2022-05-10,26.9000
2022-05-09,16.2724
2022-05-06,16.2039
2022-05-05,17.5911
2022-05-04,19.1356
2022-05-03,23.0972
2022-05-02,24.3731
2022-04-29,22.9900
2022-04-28,16.2744
2022-04-27,17.4536
2022-04-26,13.8808
2022-04-25,15.5550
2022-04-22,10.6056
2022-04-21,11.7043
2022-04-20,13.5575
2022-04-19,20.1586
2022-04-18,23.5256
2022-04-14,21.5387
2022-04-13,26.6735
2022-04-12,25.5958
2022-04-11,24.8339
2022-04-08,21.7735
2022-04-07,23.4111
2022-04-06,23.9340
2022-04-05,19.4982
2022-04-04,22.1122
2022-04-01,23.8115
2022-03-31,16.6593
2022-03-30,11.4400
2022-03-29,12.3902
2022-03-28,13.8687
2022-03-25,15.1514
2022-03-24,16.7271
2022-03-23,15.8515
2022-03-22,16.5984
2022-03-21,17.6104
2022-03-18,19.3213
2022-03-17,21.3651
2022-03-16,22.8614
2022-03-15,25.1831
2022-03-14,27.8749
2022-03-11,25.8007
2022-03-10,28.6603
2022-03-09,21.2393
2022-03-08,23.2164
2022-03-07,23.2889
2022-03-04,25.3441
2022-03-03,28.4486
2022-03-02,31.5567
2022-03-01,35.6706
2022-02-28,38.1192
2022-02-25,41.2607
2022-02-24,45.9036
2022-02-23,39.5732
2022-02-22,40.8449
2022-02-18,40.9160
2022-02-17,39.0031
2022-02-16,31.8922
2022-02-15,29.2429
2022-02-14,31.6270
2022-02-11,22.8225
2022-02-10,21.7892
2022-02-09,16.6167
2022-02-08,17.5918
2022-02-07,16.9117
2022-02-04,17.8331
2022-02-03,19.4320
2022-02-02,21.3711
2022-02-01,22.9888
2022-01-31,25.6203
2022-01-28,27.4161
2022-01-27,28.8514
2022-01-26,28.0048
2022-01-25,31.3725
2022-01-24,41.7307
2022-01-21,30.1477
2022-01-20,28.1182
2022-01-19,27.0400
2022-01-18,28.4342
2022-01-14,25.3606
2022-01-13,26.0952
2022-01-12,28.3540
2022-01-11,31.3993
2022-01-10,18.6315
2022-01-07,20.7358
2022-01-06,22.4783
2022-01-05,4.5347
2022-01-04,5.4801
2022-01-03,6.6500
2021-12-31,7.6123
2021-12-30,8.1629
2021-12-29,8.5839
2021-12-28,9.3840
2021-12-27,10.1076
2021-12-23,10.8963
2021-12-22,11.5854
2021-12-21,12.6834
2021-12-20,13.9168
2021-12-17,13.3437
2021-12-16,15.3820
2021-12-15,17.9164
2021-12-14,19.5797
2021-12-13,22.1506
2021-12-10,13.0380
2021-12-09,14.3394
2021-12-08,15.9061
2021-12-07,17.3775
2021-12-06,19.2470
2021-12-03,21.4588
2021-12-02,24.1148
2021-12-01,24.3685
2021-11-30,26.7961
2021-11-29,25.1673
2021-11-26,30.2335
2021-11-24,25.6393
2021-11-23,27.1877
2021-11-22,29.7714
2021-11-19,35.5670
2021-11-18,32.7358
2021-11-17,28.6098
2021-11-16,27.6253
2021-11-15,29.6002
2021-11-12,29.9670
2021-11-11,26.5358
2021-11-10,28.5664
2021-11-09,30.2938
2021-11-08,26.6105
2021-11-05,28.0135
2021-11-04,31.5056
2021-11-03,36.3041
2021-11-02,38.6762
2021-11-01,42.1561
2021-10-29,42.0374
2021-10-28,44.2447
2021-10-27,45.5157
2021-10-26,43.9712
2021-10-25,45.6182
2021-10-22,48.0837
2021-10-21,48.9111
2021-10-20,21.3390
2021-10-19,22.7890
2021-10-18,19.6796
2021-10-15,17.7857
2021-10-14,19.4741
2021-10-13,22.4114
2021-10-12,21.2604
2021-10-11,13.7015
2021-10-08,14.7231
2021-10-07,14.2899
2021-10-06,15.4454
2021-10-05,9.5398
2021-10-04,10.5036
2021-10-01,12.2225
2021-09-30,15.3427
2021-09-29,16.9415
2021-09-28,15.9796
2021-09-27,18.1589
2021-09-24,19.7060
