time,PLUS_DI
2024-01-24,48.1193
2024-01-23,48.6122
2024-01-22,52.0612
2024-01-19,45.7973
2024-01-18,32.9035
2024-01-17,36.2995
2024-01-16,37.7671
2024-01-12,34.8537
2024-01-11,20.7130
2024-01-10,17.8523
2024-01-09,14.5651
2024-01-08,15.9095
2024-01-05,19.1626
2024-01-04,21.8003
2024-01-03,23.6338
2024-01-02,26.0571
2023-12-29,31.5009
2023-12-28,34.3202
2023-12-27,33.5313
2023-12-26,33.4837
2023-12-22,30.7784
2023-12-21,26.1784
2023-12-20,28.3768
2023-12-19,31.0904
2023-12-18,33.3687
2023-12-15,36.3270
2023-12-14,37.0984
2023-12-13,43.9961
2023-12-12,49.2966
2023-12-11,43.4417
2023-12-08,38.4201
2023-12-07,39.6309
2023-12-06,42.9850
2023-12-05,48.8178
2023-12-04,53.7131
2023-12-01,48.6383
2023-11-30,44.1243
2023-11-29,43.3408
2023-11-28,37.2252
2023-11-27,39.2175
2023-11-24,38.0882
2023-11-22,41.3287
2023-11-21,39.5997
2023-11-20,42.0839
2023-11-17,40.9782
2023-11-16,42.4313
2023-11-15,44.3798
2023-11-14,38.3536
2023-11-13,31.5257
2023-11-10,34.2775
2023-11-09,27.2970
2023-11-08,29.7438
2023-11-07,32.9656
2023-11-06,34.7297
2023-11-03,33.2972
2023-11-02,29.3600
2023-11-01,29.6911
2023-10-31,24.6588
2023-10-30,25.8567
2023-10-27,28.0319
2023-10-26,30.3986
2023-10-25,10.3398
2023-10-24,8.7724
2023-10-23,8.0618
2023-10-20,8.8453
2023-10-19,9.8707
2023-10-18,10.9553
2023-10-17,11.4261
2023-10-16,14.2138
2023-10-13,15.2386
2023-10-12,17.8436
2023-10-11,20.2334
2023-10-10,21.6407
2023-10-09,18.0306
2023-10-06,19.7318
2023-10-05,15.8204
2023-10-04,14.3600
2023-10-03,15.2932
2023-10-02,15.6123
2023-09-29,16.8800
2023-09-28,19.0912
2023-09-27,22.1660
2023-09-26,24.6482
2023-09-25,29.6707
2023-09-22,31.6503
2023-09-21,33.8555
2023-09-20,38.6238
2023-09-19,17.0602
2023-09-18,19.5672
2023-09-15,21.5300
2023-09-14,25.2550
2023-09-13,22.0730
2023-09-12,23.7317
2023-09-11,28.4082
2023-09-08,29.5388
2023-09-07,32.4488
2023-09-06,32.4326
2023-09-05,35.2510
2023-09-01,32.4269
2023-08-31,32.7012
2023-08-30,29.8572
2023-08-29,30.9147
2023-08-28,33.0893
2023-08-25,28.3171
2023-08-24,25.5207
2023-08-23,21.3783
2023-08-22,22.4581
2023-08-21,19.9439
2023-08-18,18.0988
2023-08-17,20.4000
2023-08-16,19.4657
2023-08-15,21.2950
2023-08-14,22.6872
2023-08-11,24.7365
2023-08-10,26.4493
2023-08-09,29.5394
2023-08-08,31.3194
2023-08-07,35.0659
2023-08-04,37.3202
2023-08-03,36.8052
2023-08-02,35.5026
2023-08-01,39.7659
2023-07-31,45.4704
2023-07-28,44.6948
2023-07-27,44.2469
2023-07-26,37.7797
2023-07-25,36.0677
2023-07-24,37.1163
2023-07-21,37.9497
2023-07-20,41.9830
2023-07-19,30.6908
2023-07-18,30.0175
2023-07-17,25.1502
2023-07-14,23.3634
2023-07-13,24.6138
2023-07-12,27.6436
2023-07-11,27.5952
2023-07-10,21.6334
2023-07-07,23.2396
2023-07-06,25.9315
2023-07-05,29.9172
2023-07-03,32.8201
2023-06-30,35.4867
2023-06-29,34.8941
2023-06-28,27.9570
2023-06-27,30.1040
2023-06-26,25.2477
2023-06-23,23.8458
2023-06-22,26.3968
2023-06-21,30.8963
2023-06-20,35.7629
2023-06-16,39.0605
2023-06-15,39.7121
2023-06-14,43.4117
2023-06-13,44.0091
2023-06-12,40.5404
2023-06-09,40.6257
2023-06-08,44.3606
2023-06-07,40.6155
2023-06-06,37.2683
2023-06-05,39.4156
2023-06-02,39.7101
2023-06-01,30.4407
2023-05-31,30.5256
2023-05-30,34.0446
2023-05-26,35.2127
2023-05-25,26.7874
2023-05-24,30.4225
2023-05-23,35.7528
2023-05-22,34.4442
2023-05-19,36.7004
2023-05-18,30.2841
2023-05-17,28.6488
2023-05-16,20.1065
2023-05-15,20.8233
2023-05-12,17.3915
2023-05-11,15.6206
2023-05-10,17.2889
2023-05-09,15.5616
2023-05-08,16.7837
2023-05-05,18.1038
2023-05-04,16.4037
2023-05-03,18.0074
2023-05-02,20.3530
2023-05-01,24.2697
2023-04-28,25.2174
2023-04-27,26.1939
2023-04-26,25.8414
2023-04-25,25.9108
2023-04-24,27.0763
2023-04-21,29.0456
2023-04-20,30.9925
2023-04-19,18.0263
2023-04-18,20.4899
2023-04-17,21.9370
2023-04-14,24.1532
2023-04-13,19.6396
2023-04-12,22.3939
2023-04-11,25.8873
2023-04-10,27.0518
2023-04-06,29.7244
2023-04-05,33.4141
2023-04-04,33.1759
2023-04-03,35.2566
2023-03-31,31.6860
2023-03-30,34.7559
2023-03-29,33.2910
2023-03-28,31.9125
2023-03-27,33.0874
2023-03-24,17.7844
2023-03-23,17.6795
2023-03-22,19.6614
2023-03-21,22.8297
2023-03-20,19.6765
2023-03-17,14.0276
2023-03-16,15.2140
2023-03-15,10.1595
2023-03-14,11.6776
2023-03-13,13.8582
2023-03-10,11.3061
2023-03-09,12.7536
2023-03-08,14.7615
2023-03-07,15.8115
2023-03-06,17.9565
2023-03-03,13.6789
2023-03-02,10.6940
2023-03-01,11.5808
2023-02-28,12.6653
2023-02-27,13.6408
2023-02-24,8.6956
