time,HT_TRENDLINE
2021-11-18,104.4120
2021-11-17,105.1682
2021-11-16,105.9669
2021-11-15,106.5448
2021-11-12,107.1809
2021-11-11,107.9114
2021-11-10,108.5152
2021-11-09,109.1542
2021-11-08,109.6594
2021-11-05,109.9837
2021-11-04,110.2735
2021-11-03,110.5592
2021-11-02,110.8478
2021-11-01,111.2069
2021-10-29,111.6188
2021-10-28,112.0219
2021-10-27,112.3788
2021-10-26,112.6613
2021-10-25,112.8166
2021-10-22,112.9273
2021-10-21,112.9541
2021-10-20,112.9201
2021-10-19,112.7467
2021-10-18,112.5773
2021-10-15,112.4335
2021-10-14,112.3019
2021-10-13,112.2090
2021-10-12,112.1571
2021-10-11,112.0914
2021-10-08,112.0162
2021-10-07,111.9321
2021-10-06,111.8217
2021-10-05,111.6832
2021-10-04,111.5222
2021-10-01,111.3734
2021-09-30,111.2736
2021-09-29,111.2243
2021-09-28,111.1829
2021-09-27,111.1639
2021-09-24,111.1712
2021-09-23,111.2982
2021-09-22,111.4754
2021-09-21,111.7339
2021-09-20,111.9590
2021-09-17,112.1371
2021-09-16,112.3019
2021-09-15,112.5076
2021-09-14,112.7682
2021-09-13,113.0452
2021-09-10,113.2877
2021-09-09,113.4607
2021-09-08,113.6065
2021-09-07,113.7128
2021-09-03,113.7830
2021-09-02,113.8091
2021-09-01,113.8156
2021-08-31,113.8450
2021-08-30,113.8883
2021-08-27,113.9437
2021-08-26,113.9968
2021-08-25,114.0580
2021-08-24,114.1116
2021-08-23,114.1749
2021-08-20,114.2380
2021-08-19,114.2679
2021-08-18,114.2167
2021-08-17,114.0589
2021-08-16,113.8144
2021-08-13,113.5757
2021-08-12,113.3866
2021-08-11,113.2409
2021-08-10,113.1186
2021-08-09,113.0175
2021-08-06,112.9140
2021-08-05,112.7880
2021-08-04,112.6565
2021-08-03,112.5422
2021-08-02,112.4630
2021-07-30,112.4577
2021-07-29,112.4968
2021-07-28,112.5875
2021-07-27,112.7710
2021-07-26,112.9147
