time,ADOSC
2022-11-08,1982125.5557
2022-11-07,1925148.0244
2022-11-04,1879331.0255
2022-11-03,2340362.0070
2022-11-02,3445503.9320
2022-11-01,4346389.9713
2022-10-31,4051265.4877
2022-10-28,3597119.9272
2022-10-27,3127651.8982
2022-10-26,3256613.5575
2022-10-25,2390776.1388
2022-10-24,1167711.7889
2022-10-21,-161734.5820
2022-10-20,-1424094.3589
2022-10-19,-2741331.9243
2022-10-18,-2378537.3499
2022-10-17,-2211718.1390
2022-10-14,-1579628.0314
2022-10-13,-1572677.1792
2022-10-12,-2275812.6175
2022-10-11,-1867222.5510
2022-10-10,-1411830.3169
2022-10-07,-699630.6873
2022-10-06,-170933.2078
2022-10-05,69858.0006
2022-10-04,-538692.0909
2022-10-03,-1278348.0478
2022-09-30,-1345563.6452
2022-09-29,-770467.3644
2022-09-28,-960046.1744
2022-09-27,-1164724.0641
2022-09-26,-404135.1563
2022-09-23,417519.7992
2022-09-22,999258.4319
2022-09-21,1370367.8956
2022-09-20,1738220.7572
2022-09-19,1284390.6589
2022-09-16,357915.2863
2022-09-15,-684480.1009
2022-09-14,-170368.3536
2022-09-13,19904.6989
2022-09-12,137619.2670
2022-09-09,-542837.0053
2022-09-08,-1314339.6150
2022-09-07,-2051741.7947
2022-09-06,-2411294.2052
2022-09-02,-2267226.0197
2022-09-01,-2236937.5725
2022-08-31,-2497669.7772
2022-08-30,-1897639.6171
2022-08-29,-1495688.6023
2022-08-26,-999328.6239
2022-08-25,-131149.2607
2022-08-24,336734.7094
2022-08-23,1415059.5265
2022-08-22,2536767.7216
2022-08-19,3194218.0311
2022-08-18,3243059.9449
2022-08-17,2836595.6488
2022-08-16,2594504.6997
2022-08-15,2279052.6095
2022-08-12,1980563.5613
2022-08-11,1851944.8098
2022-08-10,2120713.7866
2022-08-09,2262679.3867
2022-08-08,2893515.2927
2022-08-05,3164488.9904
2022-08-04,3189828.8454
2022-08-03,3429698.9126
2022-08-02,3469833.3001
2022-08-01,3434949.2111
2022-07-29,3167160.6141
2022-07-28,2715506.3569
2022-07-27,2793714.9643
2022-07-26,2648355.0693
2022-07-25,2858774.2405
2022-07-22,2460019.7334
2022-07-21,1513500.9194
2022-07-20,1310134.4123
2022-07-19,1117142.7443
2022-07-18,205775.9603
2022-07-15,1033996.1733
2022-07-14,776715.8169
2022-07-13,552284.9358
2022-07-12,1304264.7996
2022-07-11,1807142.1886
2022-07-08,1999868.0925
2022-07-07,2130991.3504
2022-07-06,2029992.5631
2022-07-05,2272257.2343
2022-07-01,2414727.0824
2022-06-30,2407618.7948
2022-06-29,2732866.5957
2022-06-28,3298207.9071
2022-06-27,3507887.0175
2022-06-24,2803490.8237
2022-06-23,1095918.8214
2022-06-22,425193.5942
2022-06-21,197074.6807
2022-06-17,-267534.2801
2022-06-16,-521636.8995
2022-06-15,-746361.0150
2022-06-14,-501200.8258
2022-06-13,44078.1794
2022-06-10,812216.0851
2022-06-09,1605324.1067
2022-06-08,2540751.9601
2022-06-07,2994719.1030
2022-06-06,3087819.0966
2022-06-03,3558566.3332
2022-06-02,3555705.3517
2022-06-01,3172668.3475
2022-05-31,3070919.4886
2022-05-27,2472911.7824
2022-05-26,1864965.5062
2022-05-25,1342435.2462
2022-05-24,851288.9610
2022-05-23,370613.5655
2022-05-20,276123.0336
2022-05-19,454705.1875
2022-05-18,1063604.7538
2022-05-17,1295997.0562
2022-05-16,382163.1110
2022-05-13,-120964.7452
2022-05-12,-701642.7470
2022-05-11,-692424.2028
2022-05-10,226188.5253
2022-05-09,1258164.3071
2022-05-06,1091166.7240
2022-05-05,116881.8435
2022-05-04,-168181.9298
2022-05-03,-791260.6464
2022-05-02,-472440.3319
2022-04-29,-185463.0138
2022-04-28,938346.3607
2022-04-27,1650356.9697
2022-04-26,2589785.5637
2022-04-25,3229855.6588
2022-04-22,2701511.7884
2022-04-21,2635643.8164
2022-04-20,1467297.8317
2022-04-19,-551738.7083
2022-04-18,-1236673.6284
2022-04-14,-466340.0152
2022-04-13,574744.4441
2022-04-12,798159.7446
2022-04-11,1457681.5677
2022-04-08,2094811.4188
2022-04-07,2309976.9803
2022-04-06,2106621.8624
2022-04-05,1936620.6491
2022-04-04,2387878.7322
2022-04-01,2242372.6889
