time,OBV
2012-11-23,1067181355.0000
2012-11-16,1050627047.0000
2012-11-09,1070449791.0000
2012-11-02,1089253941.0000
2012-10-26,1074535468.0000
2012-10-19,1095271371.0000
2012-10-12,1134269491.0000
2012-10-05,1150178627.0000
2012-09-28,1131574368.0000
2012-09-21,1112785700.0000
2012-09-14,1138796998.0000
2012-09-07,1118568092.0000
2012-08-31,1102697867.0000
2012-08-24,1116414690.0000
2012-08-17,1131205442.0000
2012-08-10,1118262555.0000
2012-08-03,1105317157.0000
2012-07-27,1089685735.0000
2012-07-20,1070025540.0000
2012-07-13,1037068592.0000
2012-07-06,1061125334.0000
2012-06-29,1073594176.0000
2012-06-22,1054099772.0000
2012-06-15,1078361008.0000
2012-06-08,1057944449.0000
2012-06-01,1039113731.0000
2012-05-25,1061827516.0000
2012-05-18,1080624134.0000
2012-05-11,1104034658.0000
2012-05-04,1122046150.0000
2012-04-27,1137421929.0000
2012-04-20,1116451619.0000
2012-04-13,1148424386.0000
2012-04-05,1166753024.0000
2012-03-30,1183167274.0000
2012-03-23,1166423639.0000
2012-03-16,1184343918.0000
2012-03-09,1157308899.0000
2012-03-02,1134481415.0000
2012-02-24,1114261610.0000
2012-02-17,1095480368.0000
2012-02-10,1077541679.0000
2012-02-03,1096520405.0000
2012-01-27,1072772442.0000
2012-01-20,1048900422.0000
2012-01-13,1015406562.0000
2012-01-06,1043264888.0000
2011-12-30,1063508020.0000
2011-12-23,1076185225.0000
2011-12-16,1047768754.0000
2011-12-09,1079343413.0000
2011-12-02,1054089941.0000
2011-11-25,1027057538.0000
2011-11-18,1044167376.0000
2011-11-11,1070863490.0000
2011-11-04,1048998851.0000
2011-10-28,1072972019.0000
2011-10-21,1042931948.0000
2011-10-14,1091880561.0000
2011-10-07,1064453501.0000
2011-09-30,1024582284.0000
2011-09-23,986017940.0000
2011-09-16,1019270800.0000
2011-09-09,984267249.0000
2011-09-02,1010761277.0000
2011-08-26,1038258837.0000
2011-08-19,1002915336.0000
2011-08-12,1052612572.0000
2011-08-05,1111898490.0000
2011-07-29,1155024231.0000
2011-07-22,1182528171.0000
2011-07-15,1143302232.0000
2011-07-08,1168237091.0000
2011-07-01,1146503409.0000
2011-06-24,1122026278.0000
2011-06-17,1097991292.0000
2011-06-10,1067253956.0000
2011-06-03,1088844021.0000
2011-05-27,1113260379.0000
2011-05-20,1137024032.0000
2011-05-13,1109830231.0000
2011-05-06,1085250593.0000
2011-04-29,1116071609.0000
2011-04-21,1087977201.0000
2011-04-15,1056850335.0000
2011-04-08,1033662609.0000
2011-04-01,1052075031.0000
2011-03-25,1032131684.0000
2011-03-18,1005592783.0000
2011-03-11,1049313489.0000
2011-03-04,1016787284.0000
2011-02-25,1039315298.0000
2011-02-18,1061734528.0000
2011-02-11,1042289389.0000
2011-02-04,1014991616.0000
2011-01-28,988453447.0000
2011-01-21,954455417.0000
2011-01-14,917043345.0000
2011-01-07,896250436.0000
2010-12-31,871683873.0000
2010-12-23,856324098.0000
2010-12-17,842113771.0000
2010-12-10,812622012.0000
2010-12-03,834609870.0000
2010-11-26,804670738.0000
2010-11-19,820628930.0000
2010-11-12,795307573.0000
2010-11-05,821265108.0000
2010-10-29,792917046.0000
2010-10-22,758834917.0000
2010-10-15,802509390.0000
2010-10-08,769770221.0000
2010-10-01,742545981.0000
2010-09-24,710292678.0000
2010-09-17,680631258.0000
2010-09-10,649286091.0000
2010-09-03,631832327.0000
2010-08-27,605580344.0000
2010-08-20,635759220.0000
2010-08-13,661741230.0000
2010-08-06,690737499.0000
2010-07-30,662753235.0000
2010-07-23,632328130.0000
2010-07-16,584914520.0000
2010-07-09,552811213.0000
2010-07-02,528987205.0000
2010-06-25,570749695.0000
2010-06-18,608122959.0000
2010-06-11,571555950.0000
2010-06-04,533433435.0000
2010-05-28,500845098.0000
2010-05-21,543306838.0000
2010-05-14,598471517.0000
2010-05-07,544071570.0000
2010-04-30,589157828.0000
2010-04-23,626163214.0000
2010-04-16,674640292.0000
2010-04-09,637686475.0000
2010-04-01,612170353.0000
2010-03-26,630951177.0000
2010-03-19,598050609.0000
2010-03-12,632233573.0000
2010-03-05,596945719.0000
2010-02-26,566451160.0000
2010-02-19,591162804.0000
2010-02-12,565605156.0000
2010-02-05,534132272.0000
2010-01-29,497455539.0000
2010-01-22,542210112.0000
2010-01-15,593266312.0000
2010-01-08,555742633.0000
2009-12-31,585699861.0000
2009-12-24,566793412.0000
2009-12-18,547232481.0000
2009-12-11,583269794.0000
2009-12-04,552681932.0000
2009-11-27,520980079.0000
2009-11-20,540965896.0000
2009-11-13,565528799.0000
2009-11-06,533034811.0000
2009-10-30,500827533.0000
2009-10-23,460258006.0000
2009-10-16,498219437.0000
2009-10-09,556773260.0000
2009-10-02,517207789.0000
2009-09-25,556307371.0000
2009-09-18,583746668.0000
2009-09-11,541007424.0000
2009-09-04,518174605.0000
2009-08-28,544648758.0000
2009-08-21,571974147.0000
2009-08-14,543081328.0000
2009-08-07,569650877.0000
2009-07-31,540473964.0000
2009-07-24,511096324.0000
2009-07-17,466620405.0000
2009-07-10,405122197.0000
2009-07-02,440903763.0000
2009-06-26,466801047.0000
2009-06-19,499092843.0000
2009-06-12,543998354.0000
2009-06-05,503295359.0000
2009-05-29,466065814.0000
2009-05-22,437478531.0000
2009-05-15,401287455.0000
2009-05-08,445459196.0000
2009-05-01,490114713.0000
2009-04-24,441586276.0000
2009-04-17,503791163.0000
2009-04-09,547421705.0000
2009-04-03,581821610.0000
2009-03-27,513923136.0000
2009-03-20,450168705.0000
2009-03-13,383924586.0000
2009-03-06,319248735.0000
2009-02-27,397158579.0000
2009-02-20,315773819.0000
2009-02-13,360144615.0000
2009-02-06,411537626.0000
2009-01-30,355409791.0000
2009-01-23,302252805.0000
2009-01-16,238123069.0000
2009-01-09,187726791.0000
2009-01-02,230709439.0000
2008-12-26,203447647.0000
2008-12-19,223294658.0000
2008-12-12,170860667.0000
2008-12-05,118785454.0000
2008-11-28,172606337.0000
2008-11-21,131088716.0000
2008-11-14,207877143.0000
2008-11-07,268748483.0000
2008-10-31,317926485.0000
2008-10-24,254604681.0000
2008-10-17,315593696.0000
2008-10-10,237092863.0000
2008-10-03,327936810.0000
2008-09-26,393635127.0000
2008-09-19,357306921.0000
2008-09-12,426664146.0000
2008-09-05,377728294.0000
2008-08-29,421672425.0000
2008-08-22,453568729.0000
2008-08-15,489611168.0000
2008-08-08,523840679.0000
2008-08-01,487843742.0000
2008-07-25,517863207.0000
2008-07-18,565927218.0000
2008-07-11,503645556.0000
2008-07-03,454121538.0000
2008-06-27,488343310.0000
2008-06-20,532178762.0000
2008-06-13,569173584.0000
2008-06-06,536430020.0000
2008-05-30,573363545.0000
2008-05-23,538762703.0000
2008-05-16,571679903.0000
2008-05-09,528952375.0000
2008-05-02,488186201.0000
2008-04-25,450419013.0000
2008-04-18,484177301.0000
2008-04-11,413891124.0000
2008-04-04,373107901.0000
2008-03-28,328782293.0000
2008-03-20,372187944.0000
2008-03-14,330369807.0000
2008-03-07,279539858.0000
2008-02-29,238216061.0000
2008-02-22,181348494.0000
2008-02-15,148616435.0000
2008-02-08,113122624.0000
2008-02-01,155633631.0000
2008-01-25,114831788.0000
2008-01-18,54405729.0000
2008-01-11,-27314380.0000
2008-01-04,27706787.0000
2007-12-28,63060853.0000
2007-12-21,80361587.0000
2007-12-14,34879731.0000
2007-12-07,73294811.0000
2007-11-30,40165901.0000
2007-11-23,-8546213.0000
2007-11-16,20554029.0000
2007-11-09,-31853393.0000
2007-11-02,33749947.0000
2007-10-26,2323193.0000
2007-10-19,-31946484.0000
2007-10-12,24494419.0000
2007-10-05,-12201664.0000
2007-09-28,22870505.0000
2007-09-21,-11678246.0000
2007-09-14,-51506577.0000
2007-09-07,-17813559.0000
2007-08-31,12432890.0000
2007-08-24,-21685430.0000
2007-08-17,-63481183.0000
2007-08-10,-5544395.0000
2007-08-03,-49085713.0000
2007-07-27,20151221.0000
2007-07-20,-47672463.0000
2007-07-13,-105857361.0000
2007-07-06,-69444431.0000
2007-06-29,-95141825.0000
2007-06-22,-128152641.0000
2007-06-15,-91489296.0000
2007-06-08,-127594075.0000
2007-06-01,-61501835.0000
2007-05-25,-85777611.0000
