time,FastD,FastK
2023-09-13,36.3225,25.1678
2023-09-12,40.1128,16.7785
2023-09-11,47.7990,67.0213
2023-09-08,49.1651,36.5385
2023-09-07,61.7391,39.8374
2023-09-06,79.9479,71.1196
2023-09-05,82.4980,74.2604
2023-09-01,90.5373,94.4637
2023-08-31,90.5094,78.7700
2023-08-30,93.1743,98.3784
2023-08-29,92.7974,94.3798
2023-08-28,88.1598,86.7647
2023-08-25,91.9884,97.2477
2023-08-24,76.2151,80.4671
2023-08-23,78.3582,98.2503
2023-08-22,60.8647,49.9278
2023-08-21,45.3755,86.8966
2023-08-18,17.0733,45.7698
2023-08-17,7.7882,3.4602
2023-08-16,7.7821,1.9900
2023-08-15,18.2704,17.9144
2023-08-14,24.2939,3.4417
2023-08-11,31.5721,33.4552
2023-08-10,49.0600,35.9848
2023-08-09,67.9349,25.2763
2023-08-08,77.1116,85.9189
2023-08-07,73.3900,92.6097
2023-08-04,70.4930,52.8061
2023-08-03,77.2295,74.7541
2023-08-02,83.0990,83.9187
2023-08-01,85.2365,73.0159
2023-07-31,91.7994,92.3626
2023-07-28,93.0659,90.3311
2023-07-27,95.6528,92.7046
2023-07-26,93.7728,96.1620
2023-07-25,88.6809,98.0916
2023-07-24,80.5546,87.0647
2023-07-21,75.6546,80.8864
2023-07-20,76.1986,73.7127
2023-07-19,71.7729,72.3647
2023-07-18,63.2864,82.5185
2023-07-17,56.1837,60.4356
2023-07-14,47.4142,46.9051
2023-07-13,63.7836,61.2105
2023-07-12,59.4515,34.1270
2023-07-11,53.1525,96.0133
2023-07-10,26.9910,48.2143
2023-07-07,37.8613,15.2299
2023-07-06,55.3243,17.5287
2023-07-05,75.7052,80.8252
2023-07-03,80.2270,67.6190
2023-06-30,80.4387,78.6713
2023-06-29,71.1768,94.3907
2023-06-28,48.6573,68.2540
2023-06-27,26.7159,50.8857
2023-06-26,11.6124,26.8323
2023-06-23,4.8262,2.4298
2023-06-22,4.6682,5.5752
2023-06-21,17.9658,6.4735
2023-06-20,45.4298,1.9559
2023-06-16,66.3903,45.4680
2023-06-15,81.3904,88.8655
2023-06-14,83.6954,64.8374
2023-06-13,89.0972,90.4682
2023-06-12,83.2979,95.7806
2023-06-09,84.4040,81.0427
2023-06-08,85.8756,73.0703
2023-06-07,89.7324,99.0991
2023-06-06,86.3348,85.4575
2023-06-05,89.0726,84.6405
2023-06-02,84.4433,88.9065
2023-06-01,84.2550,93.6709
2023-05-31,80.8450,70.7524
2023-05-30,71.5582,88.3417
2023-05-26,46.3035,83.4409
2023-05-25,46.4258,42.8922
2023-05-24,60.9527,12.5776
2023-05-23,84.3232,83.8078
2023-05-22,87.4983,86.4726
2023-05-19,91.1270,82.6891
2023-05-18,92.8691,93.3333
2023-05-17,91.6062,97.3585
2023-05-16,92.1981,87.9154
2023-05-15,68.9067,89.5446
2023-05-12,65.8069,99.1342
2023-05-11,42.1468,18.0412
2023-05-10,47.8061,80.2454
2023-05-09,33.6983,28.1538
2023-05-08,29.2509,35.0193
2023-05-05,19.1651,37.9218
2023-05-04,22.3536,14.8115
2023-05-03,35.2210,4.7619
2023-05-02,56.5581,47.4874
2023-05-01,73.3848,53.4137
2023-04-28,62.2781,68.7732
2023-04-27,46.2591,97.9675
2023-04-26,17.9647,20.0935
2023-04-25,13.9522,20.7165
2023-04-24,13.2674,13.0841
2023-04-21,16.3950,8.0560
2023-04-20,25.8539,18.6620
2023-04-19,31.5170,22.4670
2023-04-18,38.0013,36.4329
2023-04-17,35.4530,35.6513
2023-04-14,26.3470,41.9197
2023-04-13,24.0453,28.7879
2023-04-12,32.1546,8.3333
2023-04-11,40.6621,35.0148
2023-04-10,57.8604,53.1157
2023-04-06,63.8969,33.8558
2023-04-05,81.1330,86.6097
2023-04-04,83.0016,71.2251
2023-04-03,83.8336,85.5643
2023-03-31,85.8928,92.2156
2023-03-30,84.5033,73.7209
2023-03-29,89.1480,91.7419
2023-03-28,77.9968,88.0470
2023-03-27,54.2093,87.6551
2023-03-24,38.3998,58.2882
2023-03-23,48.7499,16.6847
2023-03-22,71.7887,40.2266
2023-03-21,68.5650,89.3382
2023-03-20,54.1662,85.8012
2023-03-17,33.2394,30.5556
2023-03-16,31.7786,46.1420
2023-03-15,20.7666,23.0205
2023-03-14,14.9546,26.1733
2023-03-13,7.4597,13.1059
2023-03-10,8.1690,5.5846
2023-03-09,12.0217,3.6885
2023-03-08,37.0356,15.2338
2023-03-07,47.4224,17.1429
2023-03-06,51.4838,78.7302
2023-03-03,28.8723,46.3942
2023-03-02,18.0934,29.3269
2023-03-01,18.1519,10.8959
2023-02-28,23.0021,14.0575
2023-02-27,27.3681,29.5023
2023-02-24,21.2166,25.4464
2023-02-23,13.0332,27.1556
2023-02-22,14.7432,11.0479
2023-02-21,23.9141,0.8961
2023-02-17,48.8006,32.2857
2023-02-16,60.0140,38.5604
2023-02-15,80.2026,75.5556
2023-02-14,86.4353,65.9259
2023-02-13,75.1784,99.1263
2023-02-10,62.5363,94.2537
2023-02-09,55.5361,32.1551
2023-02-08,71.9663,61.2000
2023-02-07,84.8193,73.2530
2023-02-06,90.9288,81.4458
2023-02-03,77.7351,99.7590
2023-02-02,51.7285,91.5816
2023-02-01,29.1167,41.8647
2023-01-31,19.8594,21.7391
2023-01-30,17.5106,23.7462
2023-01-27,22.4688,14.0930
2023-01-26,29.5406,14.6927
2023-01-25,34.1092,38.6207
2023-01-24,27.7408,35.3084
2023-01-23,19.8744,28.3984
2023-01-20,11.2949,19.5155
2023-01-19,22.6246,11.7093
2023-01-18,45.2286,2.6600
2023-01-17,70.3919,53.5047
2023-01-13,84.2599,79.5213
2023-01-12,86.9957,78.1496
2023-01-11,82.5576,95.1087
2023-01-10,80.3686,87.7289
2023-01-09,64.4109,64.8352
2023-01-06,68.0093,88.5417
2023-01-05,59.3287,39.8559
2023-01-04,60.3291,75.6303
2023-01-03,54.5303,62.5000
2022-12-30,44.1370,42.8571
2022-12-29,58.4828,58.2339
2022-12-28,64.2624,31.3199
2022-12-27,74.6593,85.8947
2022-12-23,60.0144,75.5725
2022-12-22,44.0772,62.5106
2022-12-21,26.7266,41.9601
2022-12-20,15.5255,27.7608
2022-12-19,8.5075,10.4589
2022-12-16,20.5374,8.3567
2022-12-15,38.3684,6.7068
2022-12-14,69.4662,46.5488
2022-12-13,62.7984,61.8497
2022-12-12,59.4873,100.0000
2022-12-09,34.9353,26.5456
2022-12-08,40.1421,51.9164
2022-12-07,36.2007,26.3441
2022-12-06,50.4608,42.1659
2022-12-05,63.2104,40.0922
2022-12-02,72.3238,69.1244
2022-12-01,54.8145,80.4147
2022-11-30,29.8144,67.4322
2022-11-29,25.2574,16.5966
2022-11-28,45.1528,5.4144
2022-11-25,75.3152,53.7611
2022-11-23,82.1175,76.2829
2022-11-22,86.4839,95.9016
2022-11-21,87.2753,74.1680
2022-11-18,88.9367,89.3819
2022-11-17,85.8936,98.2759
2022-11-16,79.6120,79.1523
2022-11-15,83.0980,80.2525
2022-11-14,89.0994,79.4311
2022-11-11,86.9040,89.6104
2022-11-10,86.1048,98.2568
2022-11-09,76.8471,72.8448
2022-11-08,68.6408,87.2126
2022-11-07,42.2581,70.4839
2022-11-04,32.6499,48.2258
2022-11-03,46.2642,8.0645
2022-11-02,74.3901,41.6594
2022-11-01,92.5367,89.0688
2022-10-31,90.0132,92.4420
2022-10-28,89.8785,96.0994
2022-10-27,90.0884,81.4983
2022-10-26,95.0156,92.0377
2022-10-25,94.3240,96.7293
2022-10-24,93.0020,96.2799
2022-10-21,88.5640,89.9628
2022-10-20,87.9391,92.7632
2022-10-19,84.1895,82.9661
2022-10-18,77.9542,88.0881
2022-10-17,80.1080,81.5143
2022-10-14,55.4486,64.2602
2022-10-13,37.0397,94.5496
2022-10-12,8.0356,7.5359
2022-10-11,8.5033,9.0336
2022-10-10,20.8637,7.5372
2022-10-07,48.6273,8.9392
2022-10-06,78.2707,46.1146
2022-10-05,81.0015,90.8280
2022-10-04,51.9054,97.8693
2022-10-03,30.9715,54.3071
2022-09-30,27.5457,3.5398
2022-09-29,29.6202,35.0674
2022-09-28,19.4065,44.0299
2022-09-27,9.8459,9.7633
2022-09-26,18.2542,4.4262
2022-09-23,25.4470,15.3481
2022-09-22,36.2562,34.9882
2022-09-21,45.9785,26.0047
2022-09-20,53.3252,47.7756
2022-09-19,40.6293,64.1553
2022-09-16,27.5776,48.0447
2022-09-15,18.4275,9.6880
2022-09-14,46.1960,25.0000
2022-09-13,60.5263,20.5945
2022-09-12,70.7175,92.9936
2022-09-09,50.8567,67.9907
2022-09-08,31.3251,51.1682
2022-09-07,18.6550,33.4112
2022-09-06,17.4558,9.3960
2022-09-02,14.6005,13.1579
2022-09-01,11.8755,29.8137
2022-08-31,5.7150,0.8299
2022-08-30,5.6159,4.9828
2022-08-29,8.7928,11.3323
2022-08-26,5.6574,0.5326
2022-08-25,5.6242,14.5136
2022-08-24,8.2757,1.9262
2022-08-23,36.4130,0.4329
2022-08-22,69.3686,22.4679
2022-08-19,91.9751,86.3380
2022-08-18,92.6884,99.2997
2022-08-17,91.4940,90.2875
2022-08-16,94.1950,88.4780
2022-08-15,92.4733,95.7166
2022-08-12,90.3924,98.3903
2022-08-11,62.1673,83.3130
2022-08-10,59.0441,89.4737
2022-08-09,57.1391,13.7151
2022-08-08,74.4330,73.9437
2022-08-05,79.0301,83.7585
2022-08-04,78.2260,65.5968
2022-08-03,85.3968,87.7350
