time,RSI
2015-08-21,38.6098
2015-08-14,40.4023
2015-08-07,44.6787
2015-07-31,40.4553
2015-07-24,62.3275
2015-07-17,54.5300
2015-07-10,46.0519
2015-07-02,46.2221
2015-06-26,53.6162
2015-06-19,49.0541
2015-06-12,52.7580
2015-06-05,59.4304
2015-05-29,63.9822
2015-05-22,67.2260
2015-05-15,66.3130
2015-05-08,67.3743
2015-05-01,63.6238
2015-04-24,51.2366
2015-04-17,51.7236
2015-04-10,47.2448
2015-04-02,49.7561
2015-03-27,51.9979
2015-03-20,38.8960
2015-03-13,43.2290
2015-03-06,48.6135
2015-02-27,52.9642
2015-02-20,45.2111
2015-02-13,37.4430
2015-02-06,30.1367
2015-01-30,35.2346
2015-01-23,31.4106
2015-01-16,34.0807
2015-01-09,36.8642
2015-01-02,37.7567
2014-12-26,30.0994
2014-12-19,24.6431
2014-12-12,31.4101
2014-12-05,27.3870
2014-11-28,27.1539
2014-11-21,29.3773
2014-11-14,24.5834
2014-11-07,25.4350
2014-10-31,20.9905
2014-10-24,23.7319
2014-10-17,43.3329
2014-10-10,52.0483
2014-10-03,49.4790
2014-09-26,62.8636
2014-09-19,58.3916
2014-09-12,57.0352
2014-09-05,62.3007
2014-08-29,60.0839
2014-08-22,53.8559
2014-08-15,53.2776
2014-08-08,54.1765
2014-08-01,65.6818
2014-07-25,61.1857
2014-07-18,56.4820
2014-07-11,54.7969
2014-07-03,41.0774
2014-06-27,42.1593
2014-06-20,42.9883
2014-06-13,50.0357
2014-06-06,47.0498
2014-05-30,47.1193
2014-05-23,50.1322
2014-05-16,58.5241
2014-05-09,56.8315
2014-05-02,56.9911
2014-04-25,55.3096
2014-04-17,66.5662
2014-04-11,61.6339
2014-04-04,61.5435
2014-03-28,56.7145
2014-03-21,50.3581
2014-03-14,58.2504
2014-03-07,52.4641
2014-02-28,51.7365
2014-02-21,52.2445
2014-02-14,43.6554
2014-02-07,40.7160
2014-01-31,44.6453
2014-01-24,60.1212
2014-01-17,54.8592
2014-01-10,56.3596
2014-01-03,54.0330
2013-12-27,48.2378
2013-12-20,34.6383
2013-12-13,40.4676
2013-12-06,42.4490
2013-11-29,43.4786
2013-11-22,47.7977
2013-11-15,42.5689
2013-11-08,40.5762
2013-11-01,35.9851
2013-10-25,31.6300
2013-10-18,42.5613
2013-10-11,36.1256
2013-10-04,40.3678
2013-09-27,46.3035
2013-09-20,51.8543
2013-09-13,31.5144
2013-09-06,31.3843
2013-08-30,33.2501
2013-08-23,33.2827
2013-08-16,35.0006
2013-08-09,43.7844
2013-08-02,46.1880
2013-07-26,40.1105
2013-07-19,38.3192
2013-07-12,41.9868
2013-07-05,36.0064
2013-06-28,37.8808
2013-06-21,49.8842
2013-06-14,55.8319
2013-06-07,58.0923
2013-05-31,57.1032
2013-05-24,57.9852
2013-05-17,53.7265
2013-05-10,52.2158
2013-05-03,40.4177
2013-04-26,34.5591
2013-04-19,65.2393
2013-04-12,63.1482
2013-04-05,74.0663
2013-03-28,73.7820
2013-03-22,74.8042
2013-03-15,72.0339
2013-03-08,62.3219
2013-03-01,60.8092
2013-02-22,59.0901
2013-02-15,59.9303
2013-02-08,65.0819
2013-02-01,66.5210
2013-01-25,51.0323
2013-01-18,47.8442
2013-01-11,48.9239
2013-01-04,40.1905
2012-12-28,46.7860
2012-12-21,43.9925
2012-12-14,44.6632
2012-12-07,41.9228
2012-11-30,44.2888
2012-11-23,37.0418
2012-11-16,38.7102
2012-11-09,40.4286
2012-11-02,43.2690
2012-10-26,41.6200
2012-10-19,65.4498
2012-10-12,68.0864
2012-10-05,65.9070
2012-09-28,62.4763
2012-09-21,63.4956
2012-09-14,55.9837
2012-09-07,51.9693
2012-08-31,54.1268
2012-08-24,58.5508
2012-08-17,56.4257
2012-08-10,55.3263
2012-08-03,52.6183
2012-07-27,44.5030
2012-07-20,38.4055
2012-07-13,43.7398
2012-07-06,50.5745
