time,MIDPOINT
2023-06-23,123.7825
2023-06-22,124.5867
2023-06-21,125.7514
2023-06-20,125.2892
2023-06-16,125.2661
2023-06-15,125.1644
2023-06-14,123.5931
2023-06-13,123.0246
2023-06-12,122.4792
2023-06-09,121.9616
2023-06-08,120.7045
2023-06-07,120.1915
2023-06-06,119.4104
2023-06-05,119.3873
2023-06-02,119.2857
2023-06-01,118.0840
2023-05-31,117.9269
2023-05-30,116.9009
2023-05-26,116.5820
2023-05-25,116.0135
2023-05-24,115.1169
2023-05-23,115.1169
2023-05-22,114.8026
2023-05-19,114.6917
2023-05-18,114.1787
2023-05-17,113.9753
2023-05-16,112.9355
2023-05-15,112.9394
2023-05-12,113.3634
2023-05-11,113.5093
2023-05-10,113.7709
2023-05-09,113.7709
2023-05-08,113.7709
2023-05-05,113.7709
2023-05-04,113.7709
2023-05-03,114.1721
2023-05-02,114.9517
2023-05-01,115.4304
2023-04-28,115.4487
2023-04-27,115.5945
2023-04-26,115.5945
2023-04-25,115.7769
2023-04-24,116.6340
2023-04-21,117.0626
2023-04-20,117.3316
2023-04-19,117.8377
2023-04-18,118.5033
2023-04-17,118.5216
2023-04-14,118.5580
2023-04-13,118.5580
2023-04-12,118.8498
2023-04-11,119.1599
2023-04-10,119.1599
2023-04-06,117.3681
2023-04-05,116.4927
2023-04-04,116.4562
2023-04-03,116.4562
2023-03-31,116.0140
2023-03-30,115.3848
2023-03-29,115.3848
2023-03-28,115.1751
2023-03-27,115.1614
2023-03-24,113.9122
2023-03-23,113.9122
2023-03-22,113.9122
2023-03-21,114.5870
2023-03-20,114.6781
2023-03-17,115.5626
2023-03-16,115.5626
2023-03-15,115.5626
2023-03-14,116.1872
2023-03-13,116.5520
2023-03-10,116.6888
2023-03-09,117.0489
2023-03-08,118.0109
2023-03-07,118.1568
2023-03-06,118.4942
2023-03-03,120.0033
2023-03-02,120.0033
2023-03-01,120.6325
2023-02-28,121.1386
2023-02-27,122.1142
2023-02-24,122.1507
2023-02-23,122.2510
2023-02-22,122.3331
2023-02-21,122.6705
2023-02-17,123.6005
2023-02-16,123.6005
2023-02-15,123.6005
2023-02-14,123.4609
2023-02-13,123.2988
2023-02-10,122.5009
2023-02-09,122.1979
2023-02-08,122.1979
2023-02-07,123.9183
2023-02-06,124.2471
2023-02-03,124.4137
2023-02-02,124.4137
2023-02-01,124.4137
2023-01-31,124.4137
2023-01-30,125.9134
2023-01-27,126.2287
2023-01-26,126.2557
2023-01-25,128.9399
2023-01-24,128.9399
2023-01-23,128.9399
2023-01-20,128.9399
2023-01-19,128.9399
2023-01-18,128.9399
2023-01-17,129.2552
2023-01-13,129.1561
2023-01-12,129.0030
2023-01-11,128.4805
2023-01-10,128.2734
2023-01-09,127.7780
2023-01-06,127.7780
2023-01-05,127.2826
2023-01-04,127.2826
2023-01-03,126.6836
2022-12-30,126.6836
2022-12-29,126.6836
2022-12-28,130.0343
2022-12-27,130.3541
2022-12-23,130.3541
2022-12-22,130.3541
2022-12-21,130.3541
2022-12-20,130.3541
2022-12-19,130.3541
2022-12-16,130.9350
2022-12-15,131.9258
2022-12-14,134.0380
2022-12-13,134.0380
2022-12-12,133.1733
2022-12-09,133.0112
2022-12-08,133.0112
2022-12-07,133.0112
2022-12-06,133.0112
2022-12-05,133.0112
2022-12-02,133.0112
2022-12-01,132.9707
2022-11-30,132.2366
2022-11-29,132.1555
2022-11-28,132.0925
2022-11-25,131.6286
2022-11-23,130.7549
2022-11-22,129.0255
2022-11-21,128.3679
2022-11-18,128.0564
2022-11-17,126.7442
2022-11-16,124.9290
2022-11-15,124.8480
2022-11-14,124.7849
2022-11-11,124.3210
2022-11-10,123.4473
2022-11-09,122.1630
2022-11-08,122.1630
2022-11-07,120.7967
2022-11-04,120.6899
2022-11-03,119.4483
2022-11-02,118.7363
2022-11-01,116.1596
2022-10-31,116.1596
2022-10-28,115.7190
2022-10-27,113.5028
2022-10-26,113.5028
2022-10-25,111.4780
2022-10-24,111.3712
2022-10-21,110.1296
2022-10-20,109.4175
2022-10-19,107.0322
2022-10-18,108.2783
2022-10-17,108.2783
2022-10-14,108.2783
2022-10-13,108.2783
2022-10-12,108.2783
2022-10-11,108.3584
2022-10-10,108.3584
2022-10-07,108.8301
2022-10-06,108.8301
2022-10-05,108.8301
2022-10-04,108.7233
2022-10-03,109.0793
2022-09-30,109.7157
2022-09-29,110.9707
2022-09-28,111.0196
2022-09-27,111.0196
2022-09-26,111.1398
2022-09-23,112.7552
2022-09-22,113.7431
2022-09-21,113.7431
2022-09-20,113.9924
2022-09-19,113.9924
2022-09-16,113.9924
2022-09-15,113.9924
2022-09-14,114.5397
2022-09-13,114.5397
2022-09-12,114.5397
2022-09-09,114.4151
2022-09-08,116.0172
2022-09-07,116.0172
2022-09-06,116.3554
2022-09-02,117.1921
2022-09-01,118.7407
2022-08-31,119.0522
2022-08-30,119.5551
2022-08-29,119.8800
2022-08-26,119.9111
2022-08-25,121.1795
2022-08-24,120.8724
2022-08-23,120.4096
2022-08-22,119.5062
2022-08-19,119.5062
2022-08-18,119.5062
2022-08-17,118.9365
2022-08-16,118.3892
2022-08-15,117.6638
2022-08-12,117.2544
2022-08-11,116.4552
2022-08-10,115.3025
2022-08-09,115.0099
2022-08-08,114.5529
2022-08-05,114.4957
2022-08-04,114.4342
2022-08-03,114.0256
2022-08-02,113.8937
2022-08-01,113.8937
2022-07-29,116.5698
2022-07-28,117.3564
2022-07-27,117.3564
2022-07-26,117.3564
2022-07-25,117.3564
2022-07-22,117.8309
2022-07-21,117.8309
2022-07-20,118.7230
2022-07-19,119.4700
2022-07-18,122.2383
2022-07-15,122.2911
2022-07-14,122.3218
2022-07-13,122.3218
2022-07-12,122.8096
2022-07-11,123.2226
2022-07-08,123.2226
2022-07-07,123.2226
2022-07-06,122.9854
2022-07-05,122.9854
2022-07-01,122.0802
2022-06-30,122.0802
2022-06-29,122.0802
2022-06-28,122.0802
2022-06-27,122.0802
2022-06-24,121.7550
2022-06-23,120.1643
2022-06-22,121.2145
2022-06-21,122.0714
2022-06-17,122.1153
2022-06-16,122.1549
2022-06-15,122.1549
2022-06-14,122.1549
2022-06-13,122.1549
2022-06-10,122.6294
2022-06-09,122.9370
2022-06-08,121.8385
2022-06-07,121.5792
2022-06-06,120.4235
2022-06-03,118.4945
2022-06-02,118.0419
2022-06-01,117.7255
2022-05-31,117.6552
2022-05-27,117.6552
2022-05-26,117.2597
2022-05-25,117.2597
2022-05-24,117.2597
2022-05-23,117.2597
2022-05-20,117.2597
2022-05-19,117.5453
2022-05-18,117.5453
2022-05-17,117.5453
2022-05-16,116.5043
2022-05-13,116.5043
2022-05-12,116.5043
2022-05-11,116.5043
2022-05-10,116.5043
2022-05-09,117.1533
2022-05-06,117.7741
2022-05-05,117.7741
2022-05-04,118.0996
2022-05-03,118.0996
2022-05-02,116.7713
2022-04-29,115.4777
2022-04-28,115.4777
2022-04-27,115.4647
