time,T3
2014-12-05,103.8396
2014-11-28,105.6090
2014-11-21,107.3971
2014-11-14,109.1144
2014-11-07,110.6674
2014-10-31,111.8955
2014-10-24,112.6902
2014-10-17,112.9748
2014-10-10,112.8647
2014-10-03,112.6265
2014-09-26,112.3194
2014-09-19,111.9579
2014-09-12,111.6181
2014-09-05,111.2832
2014-08-29,110.9692
2014-08-22,110.7112
2014-08-15,110.4926
2014-08-08,110.2898
2014-08-01,110.1372
2014-07-25,110.0952
2014-07-18,110.2421
2014-07-11,110.5299
2014-07-03,110.8977
2014-06-27,111.2755
2014-06-20,111.5435
2014-06-13,111.6800
2014-06-06,111.6743
2014-05-30,111.5417
2014-05-23,111.2397
2014-05-16,110.7690
2014-05-09,110.1753
2014-05-02,109.5270
2014-04-25,108.8289
2014-04-17,108.1160
2014-04-11,107.4381
2014-04-04,106.9058
2014-03-28,106.4861
2014-03-21,106.1797
2014-03-14,105.9304
2014-03-07,105.7064
2014-02-28,105.5650
2014-02-21,105.4436
2014-02-14,105.3184
2014-02-07,105.1468
2014-01-31,104.8313
2014-01-24,104.3893
2014-01-17,103.9543
2014-01-10,103.7006
2014-01-03,103.6137
2013-12-27,103.7154
2013-12-20,103.9587
2013-12-13,104.2495
2013-12-06,104.5029
2013-11-29,104.7991
2013-11-22,105.1742
2013-11-15,105.6535
2013-11-08,106.2544
2013-11-01,106.8960
2013-10-25,107.5133
2013-10-18,108.0371
2013-10-11,108.4638
2013-10-04,108.9301
2013-09-27,109.4170
2013-09-20,110.0093
2013-09-13,110.7747
2013-09-06,111.6964
2013-08-30,112.6032
2013-08-23,113.4639
2013-08-16,114.2688
2013-08-09,115.0063
2013-08-02,115.7111
2013-07-26,116.4583
2013-07-19,117.2126
2013-07-12,117.8728
2013-07-05,118.3800
2013-06-28,118.7139
2013-06-21,118.8136
2013-06-14,118.7449
2013-06-07,118.6659
2013-05-31,118.6460
2013-05-24,118.7082
2013-05-17,118.8320
2013-05-10,118.9733
2013-05-03,119.0079
2013-04-26,118.8109
2013-04-19,118.2174
2013-04-12,117.2576
2013-04-05,116.2159
2013-03-28,115.1341
2013-03-22,114.1151
2013-03-15,113.2065
2013-03-08,112.4381
2013-03-01,111.7737
2013-02-22,111.1455
2013-02-15,110.5835
2013-02-08,110.1340
2013-02-01,109.8708
2013-01-25,109.8654
2013-01-18,110.1060
2013-01-11,110.4570
2013-01-04,110.9013
2012-12-28,111.4303
2012-12-21,111.9976
2012-12-14,112.6352
2012-12-07,113.3004
2012-11-30,113.9534
2012-11-23,114.5241
2012-11-16,114.9527
2012-11-09,115.1259
2012-11-02,115.0108
2012-10-26,114.5987
2012-10-19,113.9247
2012-10-12,113.0695
2012-10-05,112.2864
2012-09-28,111.6275
2012-09-21,111.0967
2012-09-14,110.6879
2012-09-07,110.4100
2012-08-31,110.2019
2012-08-24,110.0744
2012-08-17,110.0998
2012-08-10,110.3433
2012-08-03,110.7943
2012-07-27,111.4202
2012-07-20,112.1335
2012-07-13,112.8035
2012-07-06,113.3766
2012-06-29,113.9224
2012-06-22,114.4777
2012-06-15,114.9756
2012-06-08,115.4237
2012-06-01,115.7212
2012-05-25,115.7366
2012-05-18,115.5304
2012-05-11,115.1082
2012-05-04,114.5237
2012-04-27,113.8146
2012-04-20,112.9837
2012-04-13,111.9603
2012-04-05,110.8767
2012-03-30,109.8001
2012-03-23,108.8393
2012-03-16,108.0108
2012-03-09,107.3338
2012-03-02,106.7782
2012-02-24,106.3417
2012-02-17,106.0255
2012-02-10,105.8130
2012-02-03,105.7037
2012-01-27,105.6579
2012-01-20,105.6004
2012-01-13,105.4494
2012-01-06,105.0878
2011-12-30,104.5397
2011-12-23,103.8514
2011-12-16,103.0138
2011-12-09,102.0773
2011-12-02,101.1661
2011-11-25,100.2333
2011-11-18,99.2083
2011-11-11,98.1728
2011-11-04,97.2499
2011-10-28,96.4566
2011-10-21,95.8540
2011-10-14,95.4947
2011-10-07,95.5060
2011-09-30,95.7824
2011-09-23,96.1854
2011-09-16,96.6217
2011-09-09,96.9832
2011-09-02,97.1094
2011-08-26,97.0268
2011-08-19,96.7722
2011-08-12,96.2587
2011-08-05,95.6439
2011-07-29,95.0005
2011-07-22,94.5501
2011-07-15,94.3106
2011-07-08,94.1838
2011-07-01,94.1636
2011-06-24,94.1823
2011-06-17,94.1069
2011-06-10,93.8949
2011-06-03,93.5520
2011-05-27,93.1019
2011-05-20,92.6086
2011-05-13,92.0991
2011-05-06,91.6097
2011-04-29,91.1518
2011-04-21,90.7551
2011-04-15,90.3507
2011-04-08,89.8921
2011-04-01,89.3577
2011-03-25,88.7341
2011-03-18,87.9634
2011-03-11,87.0170
2011-03-04,85.9685
2011-02-25,84.8706
2011-02-18,83.7962
2011-02-11,82.8271
2011-02-04,82.0237
2011-01-28,81.3976
2011-01-21,80.8921
2011-01-14,80.4461
2011-01-07,79.9813
2010-12-31,79.4663
2010-12-23,78.8878
2010-12-17,78.2219
2010-12-10,77.4764
2010-12-03,76.6560
2010-11-26,75.7684
2010-11-19,74.8323
2010-11-12,73.8955
2010-11-05,73.0087
2010-10-29,72.2289
2010-10-22,71.5631
2010-10-15,71.0187
2010-10-08,70.6331
2010-10-01,70.3946
2010-09-24,70.2676
2010-09-17,70.2238
2010-09-10,70.2122
2010-09-03,70.1988
2010-08-27,70.1524
2010-08-20,70.0613
2010-08-13,69.9684
2010-08-06,69.8958
2010-07-30,69.8850
2010-07-23,69.9079
2010-07-16,69.9508
2010-07-09,70.0080
2010-07-02,70.0477
2010-06-25,70.0441
2010-06-18,70.0666
2010-06-11,70.1449
2010-06-04,70.2165
2010-05-28,70.2288
2010-05-21,70.1710
2010-05-14,70.0698
2010-05-07,69.9820
2010-04-30,69.8683
2010-04-23,69.7730
2010-04-16,69.7133
2010-04-09,69.6997
2010-04-01,69.7180
2010-03-26,69.7751
2010-03-19,69.8783
2010-03-12,70.0016
2010-03-05,70.1454
2010-02-26,70.2983
2010-02-19,70.4449
2010-02-12,70.5439
2010-02-05,70.5267
2010-01-29,70.3491
2010-01-22,70.0150
2010-01-15,69.5926
2010-01-08,69.1620
2009-12-31,68.7327
2009-12-24,68.3196
2009-12-18,67.9243
2009-12-11,67.5273
2009-12-04,67.1554
2009-11-27,66.7852
2009-11-20,66.4223
2009-11-13,66.1077
2009-11-06,65.8219
2009-10-30,65.5065
2009-10-23,65.1151
2009-10-16,64.6618
2009-10-09,64.1789
2009-10-02,63.6929
2009-09-25,63.1318
2009-09-18,62.5202
2009-09-11,61.8558
2009-09-04,61.1042
2009-08-28,60.3008
2009-08-21,59.4791
2009-08-14,58.7070
2009-08-07,57.9987
2009-07-31,57.4188
2009-07-24,56.9901
2009-07-17,56.6753
2009-07-10,56.3795
2009-07-02,55.9284
2009-06-26,55.3430
2009-06-19,54.6875
2009-06-12,53.9771
2009-06-05,53.2560
2009-05-29,52.5236
2009-05-22,51.7751
2009-05-15,50.9600
2009-05-08,50.1121
2009-05-01,49.2625
2009-04-24,48.4693
2009-04-17,47.7015
2009-04-09,47.0041
2009-04-03,46.4008
2009-03-27,45.8810
2009-03-20,45.3456
2009-03-13,44.8060
2009-03-06,44.2194
2009-02-27,43.5500
2009-02-20,42.9144
2009-02-13,42.3569
2009-02-06,41.9818
2009-01-30,41.8748
2009-01-23,42.0049
2009-01-16,42.3853
2009-01-09,42.9943
2009-01-02,43.8685
2008-12-26,45.0394
2008-12-19,46.4682
2008-12-12,48.1697
2008-12-05,50.1087
2008-11-28,52.2262
2008-11-21,54.4164
2008-11-14,56.5585
2008-11-07,58.6469
2008-10-31,60.6864
2008-10-24,62.5582
2008-10-17,64.0270
2008-10-10,65.1363
2008-10-03,65.8445
2008-09-26,66.3018
2008-09-19,66.6706
2008-09-12,66.9144
2008-09-05,66.9806
2008-08-29,66.9095
2008-08-22,66.7692
2008-08-15,66.5974
2008-08-08,66.4375
2008-08-01,66.3170
2008-07-25,66.2196
2008-07-18,66.1512
2008-07-11,66.0810
2008-07-03,65.8706
2008-06-27,65.4730
2008-06-20,64.8954
2008-06-13,64.1874
2008-06-06,63.3946
2008-05-30,62.5469
2008-05-23,61.6958
2008-05-16,60.8255
2008-05-09,59.9969
2008-05-02,59.1894
2008-04-25,58.4173
2008-04-18,57.7059
2008-04-11,57.0489
2008-04-04,56.4046
2008-03-28,55.8078
2008-03-20,55.2868
2008-03-14,54.9215
2008-03-07,54.6860
2008-02-29,54.6154
2008-02-22,54.7184
2008-02-15,54.9225
2008-02-08,55.2121
2008-02-01,55.5559
2008-01-25,55.9873
2008-01-18,56.4248
2008-01-11,56.8120
2008-01-04,57.2056
2007-12-28,57.5888
2007-12-21,58.0757
2007-12-14,58.6592
2007-12-07,59.2552
2007-11-30,59.8551
2007-11-23,60.3618
2007-11-16,60.7113
2007-11-09,60.8636
2007-11-02,60.8132
2007-10-26,60.6945
2007-10-19,60.4764
2007-10-12,60.1483
2007-10-05,59.7948
2007-09-28,59.4060
2007-09-21,59.0043
2007-09-14,58.5826
2007-09-07,58.1295
2007-08-31,57.6696
2007-08-24,57.1973
2007-08-17,56.6742
2007-08-10,56.0995
2007-08-03,55.5219
2007-07-27,54.9669
2007-07-20,54.4956
2007-07-13,54.0883
2007-07-06,53.6732
2007-06-29,53.2424
2007-06-22,52.7583
2007-06-15,52.2244
2007-06-08,51.6620
2007-06-01,51.0889
2007-05-25,50.5901
2007-05-18,50.2056
2007-05-11,49.9887
2007-05-04,49.9383
2007-04-27,50.0184
2007-04-20,50.1915
2007-04-13,50.3858
2007-04-05,50.5951
2007-03-30,50.8169
2007-03-23,51.0086
2007-03-16,51.1436
2007-03-09,51.1788
2007-03-02,51.0785
2007-02-23,50.8266
2007-02-16,50.5177
2007-02-09,50.1637
2007-02-02,49.7680
2007-01-26,49.3303
2007-01-19,48.8408
2007-01-12,48.3021
2007-01-05,47.7583
2006-12-29,47.2022
2006-12-22,46.6182
2006-12-15,45.9885
2006-12-08,45.3190
2006-12-01,44.6076
2006-11-24,43.8653
2006-11-17,43.1277
2006-11-10,42.4334
2006-11-03,41.7909
2006-10-27,41.2237
2006-10-20,40.7441
2006-10-13,40.3547
2006-10-06,40.0136
2006-09-29,39.6987
2006-09-22,39.4159
2006-09-15,39.1909
2006-09-08,39.0537
2006-09-01,39.0063
2006-08-25,39.0705
2006-08-18,39.2380
2006-08-11,39.4922
2006-08-04,39.7833
2006-07-28,40.0970
2006-07-21,40.4212
2006-07-14,40.7165
2006-07-07,40.9606
2006-06-30,41.1782
2006-06-23,41.3692
2006-06-16,41.5159
2006-06-09,41.6164
2006-06-02,41.6619
2006-05-26,41.6672
2006-05-19,41.6442
2006-05-12,41.5970
2006-05-05,41.5538
2006-04-28,41.5251
2006-04-21,41.5062
2006-04-13,41.4904
2006-04-07,41.4960
2006-03-31,41.5442
2006-03-24,41.6492
2006-03-17,41.8197
2006-03-10,42.0500
2006-03-03,42.3091
2006-02-24,42.5689
2006-02-17,42.8172
2006-02-10,43.0429
2006-02-03,43.2369
2006-01-27,43.3651
2006-01-20,43.4245
2006-01-13,43.4083
2006-01-06,43.3212
2005-12-30,43.1574
2005-12-23,42.8957
2005-12-16,42.5539
2005-12-09,42.1610
2005-12-02,41.7919
2005-11-25,41.4889
2005-11-18,41.2692
2005-11-11,41.1173
2005-11-04,40.9946
2005-10-28,40.8863
2005-10-21,40.7840
2005-10-14,40.7041
2005-10-07,40.6271
2005-09-30,40.5239
2005-09-23,40.3646
2005-09-16,40.1235
2005-09-09,39.8162
2005-09-02,39.4531
2005-08-26,39.0302
2005-08-19,38.5805
2005-08-12,38.1645
2005-08-05,37.8151
2005-07-29,37.5916
2005-07-22,37.5303
2005-07-15,37.6662
2005-07-08,37.9823
2005-07-01,38.4383
2005-06-24,38.9800
2005-06-17,39.6129
2005-06-10,40.3551
2005-06-03,41.1870
2005-05-27,42.1092
2005-05-20,43.0966
2005-05-13,44.0902
2005-05-06,45.0075
2005-04-29,45.8205
2005-04-22,46.4865
2005-04-15,46.9597
2005-04-08,47.2798
2005-04-01,47.5636
2005-03-24,47.8308
2005-03-18,48.0703
2005-03-11,48.2610
2005-03-04,48.4171
2005-02-25,48.5340
2005-02-18,48.5983
2005-02-11,48.5963
2005-02-04,48.5174
2005-01-28,48.3496
2005-01-21,48.0641
2005-01-14,47.6459
2005-01-07,47.1192
2004-12-31,46.5318
2004-12-23,45.9325
2004-12-17,45.3222
2004-12-10,44.7135
2004-12-03,44.1419
2004-11-26,43.6337
2004-11-19,43.1992
2004-11-12,42.8646
2004-11-05,42.6519
2004-10-29,42.5316
2004-10-22,42.4627
2004-10-15,42.4185
2004-10-08,42.3795
2004-10-01,42.3807
2004-09-24,42.4212
2004-09-17,42.4796
2004-09-10,42.5815
2004-09-03,42.7400
2004-08-27,42.9269
2004-08-20,43.1382
2004-08-13,43.3696
2004-08-06,43.5970
2004-07-30,43.8202
2004-07-23,44.0578
2004-07-16,44.2725
2004-07-09,44.4537
2004-07-02,44.6095
2004-06-25,44.7913
2004-06-18,45.0492
2004-06-10,45.3936
2004-06-04,45.8113
2004-05-28,46.2719
2004-05-21,46.7440
2004-05-14,47.1909
2004-05-07,47.5679
2004-04-30,47.8837
2004-04-23,48.1352
2004-04-16,48.3428
2004-04-08,48.5095
2004-04-02,48.6337
2004-03-26,48.6903
2004-03-19,48.6380
2004-03-12,48.4472
2004-03-05,48.1423
2004-02-27,47.7743
2004-02-20,47.3630
2004-02-13,46.9509
2004-02-06,46.5912
2004-01-30,46.2972
