time,KAMA
2006-02-24,42.5994
2006-02-17,42.7589
2006-02-10,42.8449
2006-02-03,43.3259
2006-01-27,43.5633
2006-01-20,43.6108
2006-01-13,43.6142
2006-01-06,43.6187
2005-12-30,43.6252
2005-12-23,43.6304
2005-12-16,43.6416
2005-12-09,43.4187
2005-12-02,42.6489
2005-11-25,41.9053
2005-11-18,41.4882
2005-11-11,41.3102
2005-11-04,41.2318
2005-10-28,41.2190
2005-10-21,41.1921
2005-10-14,41.1751
2005-10-07,41.1599
2005-09-30,41.1440
2005-09-23,41.1808
2005-09-16,41.1807
2005-09-09,41.1160
2005-09-02,41.1112
2005-08-26,41.1022
2005-08-19,40.8634
2005-08-12,40.7438
2005-08-05,40.4945
2005-07-29,40.2632
2005-07-22,39.6626
2005-07-15,39.4513
2005-07-08,39.4151
2005-07-01,39.4242
2005-06-24,39.4637
2005-06-17,39.4995
2005-06-10,39.7424
2005-06-03,39.8856
2005-05-27,39.9469
2005-05-20,40.0622
2005-05-13,40.9727
2005-05-06,41.7517
2005-04-29,42.5107
2005-04-22,44.5678
2005-04-15,47.1545
2005-04-08,47.6643
2005-04-01,47.7485
2005-03-24,47.8278
2005-03-18,48.3202
2005-03-11,48.7035
2005-03-04,48.8717
2005-02-25,48.9549
2005-02-18,49.0480
2005-02-11,49.1196
2005-02-04,49.1256
2005-01-28,49.1354
2005-01-21,49.1861
2005-01-14,49.2008
2005-01-07,49.2077
2004-12-31,48.5015
2004-12-23,47.7261
2004-12-17,47.3936
2004-12-10,46.9054
2004-12-03,46.1694
2004-11-26,45.7713
2004-11-19,45.5370
2004-11-12,45.0638
2004-11-05,44.7957
2004-10-29,44.7506
2004-10-22,44.7513
2004-10-15,44.7678
2004-10-08,44.7694
2004-10-01,44.7747
2004-09-24,44.7842
2004-09-17,44.8054
2004-09-10,44.8078
2004-09-03,44.9183
2004-08-27,45.0695
2004-08-20,45.1695
2004-08-13,45.3494
2004-08-06,45.5154
2004-07-30,45.5290
2004-07-23,45.5454
2004-07-16,45.6391
2004-07-09,45.7946
2004-07-02,45.8888
2004-06-25,45.8902
2004-06-18,45.8779
2004-06-10,45.8701
2004-06-04,45.9062
2004-05-28,45.9412
2004-05-21,46.0166
2004-05-14,46.7043
2004-05-07,47.1644
2004-04-30,47.7170
2004-04-23,48.0741
2004-04-16,48.2790
2004-04-08,48.3484
2004-04-02,48.3735
2004-03-26,48.4064
2004-03-19,48.4160
2004-03-12,48.4259
2004-03-05,48.3889
2004-02-27,48.3463
2004-02-20,48.2667
2004-02-13,47.5307
2004-02-06,46.8446
2004-01-30,45.9286
2004-01-23,45.2855
2004-01-16,44.8061
2004-01-09,44.7636
2004-01-02,44.5947
2003-12-26,44.2669
2003-12-19,44.2524
2003-12-12,44.1356
2003-12-05,44.1015
2003-11-28,44.0747
2003-11-21,44.0659
2003-11-14,44.0398
2003-11-07,43.9253
2003-10-31,43.8050
2003-10-24,43.7188
2003-10-17,43.5662
2003-10-10,42.5988
2003-10-03,42.2928
2003-09-26,42.0664
2003-09-19,41.6862
2003-09-12,41.4477
2003-09-05,41.2498
2003-08-29,41.2296
2003-08-22,41.2255
2003-08-15,41.2145
2003-08-08,41.2238
2003-08-01,41.2297
2003-07-25,41.1987
