time,WMA
2008-06-13,66.8455
2008-06-06,66.4730
2008-05-30,65.6764
2008-05-23,65.2226
2008-05-16,64.2643
2008-05-09,63.5854
2008-05-02,62.9094
2008-04-25,62.0548
2008-04-18,61.1044
2008-04-11,60.6426
2008-04-04,60.0441
2008-03-28,59.5334
2008-03-20,58.4381
2008-03-14,57.7573
2008-03-07,57.0231
2008-02-29,56.1626
2008-02-22,55.8983
2008-02-15,55.7378
2008-02-08,55.9761
2008-02-01,55.6819
2008-01-25,55.7731
2008-01-18,56.3987
2008-01-11,56.5531
2008-01-04,57.2840
2007-12-28,57.1670
2007-12-21,56.9226
2007-12-14,57.3420
2007-12-07,57.4895
2007-11-30,58.0872
2007-11-23,58.8822
2007-11-16,59.7933
2007-11-09,61.0772
2007-11-02,61.1015
2007-10-26,61.2135
2007-10-19,61.6275
2007-10-12,61.3071
2007-10-05,61.1564
2007-09-28,60.8300
2007-09-21,60.4880
2007-09-14,60.2968
2007-09-07,59.8585
2007-08-31,59.2864
2007-08-24,58.9583
2007-08-17,58.7516
2007-08-10,58.2773
2007-08-03,57.8779
2007-07-27,57.0464
2007-07-20,56.1989
2007-07-13,55.8980
2007-07-06,55.5048
2007-06-29,55.3325
2007-06-22,55.1265
2007-06-15,54.7801
2007-06-08,54.5805
2007-06-01,53.9166
2007-05-25,53.2269
2007-05-18,52.2487
2007-05-11,51.2465
2007-05-04,50.5285
2007-04-27,49.9450
2007-04-20,49.9458
2007-04-13,50.0181
2007-04-05,49.9658
2007-03-30,50.1128
2007-03-23,50.2690
2007-03-16,50.5511
2007-03-09,50.9307
2007-03-02,51.6439
2007-02-23,51.5983
2007-02-16,51.4261
2007-02-09,51.1775
2007-02-02,50.8605
2007-01-26,50.6042
2007-01-19,50.4636
2007-01-12,49.9605
2007-01-05,49.4623
2006-12-29,49.0202
2006-12-22,48.6974
2006-12-15,48.2642
2006-12-08,47.8316
2006-12-01,47.4094
2006-11-24,46.8677
2006-11-17,46.0967
2006-11-10,45.4152
2006-11-03,44.6755
2006-10-27,43.9474
2006-10-20,43.1079
2006-10-13,42.5438
2006-10-06,42.1927
2006-09-29,41.9050
2006-09-22,41.5470
2006-09-15,41.0379
2006-09-08,40.6832
2006-09-01,40.2300
2006-08-25,39.8781
2006-08-18,39.5438
2006-08-11,39.5856
2006-08-04,39.7215
2006-07-28,39.8139
2006-07-21,40.1154
2006-07-14,40.6544
2006-07-07,40.9822
2006-06-30,41.2140
2006-06-23,41.5352
2006-06-16,41.7989
2006-06-09,42.1435
2006-06-02,42.3875
2006-05-26,42.5365
2006-05-19,42.7368
2006-05-12,42.7416
2006-05-05,42.6432
2006-04-28,42.5505
2006-04-21,42.5799
2006-04-13,42.5457
2006-04-07,42.4279
2006-03-31,42.2733
2006-03-24,42.0905
2006-03-17,41.9010
2006-03-10,41.8642
2006-03-03,42.0004
2006-02-24,42.1699
2006-02-17,42.3931
2006-02-10,42.5649
