time,TEMA
2013-11-22,106.7181
2013-11-15,105.4257
2013-11-08,104.9393
2013-11-01,104.8432
2013-10-25,105.9793
2013-10-18,108.8248
2013-10-11,108.7684
2013-10-04,110.1749
2013-09-27,110.8483
2013-09-20,110.1201
2013-09-13,107.6951
2013-09-06,108.2303
2013-08-30,109.2108
2013-08-23,110.1766
2013-08-16,111.7477
2013-08-09,113.5397
2013-08-02,113.4404
2013-07-26,112.7537
2013-07-19,113.2334
2013-07-12,114.4765
2013-07-05,115.1972
2013-06-28,117.7384
2013-06-21,120.8303
2013-06-14,121.6687
2013-06-07,121.4758
2013-05-31,120.6425
2013-05-24,119.7014
2013-05-17,118.0797
2013-05-10,117.2314
2013-05-03,116.5678
2013-04-26,119.1928
2013-04-19,124.4978
2013-04-12,124.6607
2013-04-05,125.2739
2013-03-28,124.5226
2013-03-22,123.3111
2013-03-15,121.1889
2013-03-08,119.0175
2013-03-01,118.6071
2013-02-22,118.2446
2013-02-15,118.0074
2013-02-08,117.3826
2013-02-01,115.4219
2013-01-25,112.1963
2013-01-18,111.5215
2013-01-11,111.1546
2013-01-04,110.4343
2012-12-28,111.0647
2012-12-21,110.5760
2012-12-14,110.4445
2012-12-07,110.1947
2012-11-30,110.4974
2012-11-23,110.4169
2012-11-16,111.9318
2012-11-09,113.7359
2012-11-02,115.8992
2012-10-26,118.1664
2012-10-19,121.8845
2012-10-12,121.3399
2012-10-05,119.9293
2012-09-28,118.4803
2012-09-21,117.3777
2012-09-14,115.4428
2012-09-07,114.9111
2012-08-31,115.1498
2012-08-24,114.9148
2012-08-17,113.4478
2012-08-10,111.9558
2012-08-03,110.1418
2012-07-27,108.4750
2012-07-20,108.6608
2012-07-13,110.6866
2012-07-06,111.7711
2012-06-29,111.2846
2012-06-22,112.1527
2012-06-15,111.5494
2012-06-08,111.1345
2012-06-01,113.8246
2012-05-25,115.1972
2012-05-18,116.9456
2012-05-11,117.9708
2012-05-04,118.1823
2012-04-27,117.3462
2012-04-20,119.4088
2012-04-13,119.6632
2012-04-05,119.9767
2012-03-30,118.4631
2012-03-23,116.9793
2012-03-16,114.8760
2012-03-09,113.4428
2012-03-02,112.1703
2012-02-24,110.7729
2012-02-17,109.7782
2012-02-10,108.3838
2012-02-03,106.8712
2012-01-27,105.7952
2012-01-20,104.7742
2012-01-13,106.1785
2012-01-06,107.5317
2011-12-30,107.7373
2011-12-23,108.6357
2011-12-16,110.0193
2011-12-09,108.3987
2011-12-02,106.7976
2011-11-25,107.5453
2011-11-18,108.2295
2011-11-11,106.8148
2011-11-04,105.9443
2011-10-28,104.7060
2011-10-21,104.2491
2011-10-14,100.2652
2011-10-07,96.8454
2011-09-30,95.0798
2011-09-23,93.8103
2011-09-16,92.5760
2011-09-09,94.6323
2011-09-02,96.4424
2011-08-26,96.2843
2011-08-19,99.5995
2011-08-12,100.6381
2011-08-05,103.0175
2011-07-29,101.4181
2011-07-22,98.4119
2011-07-15,97.3547
2011-07-08,95.6566
2011-07-01,93.6394
2011-06-24,93.6267
2011-06-17,94.3954
2011-06-10,95.2397
2011-06-03,96.3247
2011-05-27,96.4523
2011-05-20,96.4917
2011-05-13,95.9719
2011-05-06,95.6290
2011-04-29,93.8818
2011-04-21,92.8985
2011-04-15,92.5093
2011-04-08,92.3122
2011-04-01,91.5691
2011-03-25,91.4834
2011-03-18,92.7396
2011-03-11,93.1254
2011-03-04,93.3559
2011-02-25,93.2047
2011-02-18,92.2969
2011-02-11,90.4952
2011-02-04,87.9063
2011-01-28,85.7652
2011-01-21,83.8966
2011-01-14,83.1575
2011-01-07,82.8306
2010-12-31,82.4063
2010-12-23,82.4835
2010-12-17,82.3987
2010-12-10,82.2580
2010-12-03,82.1539
2010-11-26,82.2429
2010-11-19,82.0393
2010-11-12,81.6063
2010-11-05,80.2355
2010-10-29,78.9270
2010-10-22,78.0504
2010-10-15,76.4346
2010-10-08,74.7266
2010-10-01,73.4607
2010-09-24,72.1867
2010-09-17,71.5110
2010-09-10,71.1146
2010-09-03,71.1521
2010-08-27,71.9299
2010-08-20,72.1321
2010-08-13,72.4459
2010-08-06,71.6342
2010-07-30,71.2395
2010-07-23,71.0514
2010-07-16,70.5928
2010-07-09,70.4146
2010-07-02,71.5822
2010-06-25,71.7785
2010-06-18,70.6472
2010-06-11,70.0774
2010-06-04,70.3568
2010-05-28,71.1204
2010-05-21,72.0382
2010-05-14,71.3523
2010-05-07,71.9746
2010-04-30,71.9560
2010-04-23,71.7617
2010-04-16,71.2171
2010-04-09,71.0668
2010-04-01,70.9002
2010-03-26,70.3010
2010-03-19,70.2297
2010-03-12,70.0205
2010-03-05,69.8464
2010-02-26,69.4403
2010-02-19,68.9409
2010-02-12,69.1301
2010-02-05,70.0983
2010-01-29,71.7124
2010-01-22,72.9126
2010-01-15,72.6498
2010-01-08,72.3873
2009-12-31,71.8657
2009-12-24,71.0781
2009-12-18,71.0128
2009-12-11,70.1456
2009-12-04,69.8096
2009-11-27,69.8824
2009-11-20,68.9447
2009-11-13,67.6761
2009-11-06,66.9459
2009-10-30,67.2400
2009-10-23,67.6104
2009-10-16,67.6498
2009-10-09,66.2588
2009-10-02,66.5316
2009-09-25,66.2446
2009-09-18,65.5328
2009-09-11,65.8641
2009-09-04,65.8859
2009-08-28,66.0848
2009-08-21,65.1766
2009-08-14,64.8577
2009-08-07,63.6675
2009-07-31,61.6893
2009-07-24,59.3468
2009-07-17,56.6970
2009-07-10,57.6124
2009-07-02,58.8103
2009-06-26,58.8742
2009-06-19,59.1593
2009-06-12,58.5573
2009-06-05,57.9027
2009-05-29,56.7014
2009-05-22,56.8724
2009-05-15,56.7471
2009-05-08,56.7517
2009-05-01,55.2763
2009-04-24,55.0141
2009-04-17,54.2330
2009-04-09,52.9424
2009-04-03,50.6936
2009-03-27,50.5404
2009-03-20,49.6259
2009-03-13,49.0824
2009-03-06,50.6508
2009-02-27,50.5241
2009-02-20,50.9217
2009-02-13,50.5111
2009-02-06,48.2692
2009-01-30,47.0147
2009-01-23,45.4463
2009-01-16,44.9747
2009-01-09,44.4030
2009-01-02,42.9775
2008-12-26,42.7182
2008-12-19,41.9533
2008-12-12,41.3285
2008-12-05,40.6673
2008-11-28,40.6193
