time,SMA
2006-08-04,40.1539
2006-07-28,40.3363
2006-07-21,40.6948
2006-07-14,41.1773
2006-07-07,41.4957
2006-06-30,41.6764
2006-06-23,41.9075
2006-06-16,42.1228
2006-06-09,42.3698
2006-06-02,42.5564
2006-05-26,42.6846
2006-05-19,42.7537
2006-05-12,42.6475
2006-05-05,42.4970
2006-04-28,42.3677
2006-04-21,42.3692
2006-04-13,42.2640
2006-04-07,42.1773
2006-03-31,42.0947
2006-03-24,42.0747
2006-03-17,42.1050
2006-03-10,42.1406
2006-03-03,42.3080
2006-02-24,42.4650
2006-02-17,42.8126
2006-02-10,43.1683
2006-02-03,43.6272
2006-01-27,43.9679
2006-01-20,44.1191
2006-01-13,44.1244
2006-01-06,43.9905
2005-12-30,44.0164
2005-12-23,43.9481
2005-12-16,43.8350
2005-12-09,43.4734
2005-12-02,42.9411
2005-11-25,42.4620
2005-11-18,42.1117
2005-11-11,41.8661
2005-11-04,41.7060
2005-10-28,41.7700
2005-10-21,41.7055
2005-10-14,41.7597
2005-10-07,41.8404
2005-09-30,42.0243
2005-09-23,42.2042
2005-09-16,42.1769
2005-09-09,41.8241
2005-09-02,41.5210
2005-08-26,41.3065
2005-08-19,40.8710
2005-08-12,40.5465
2005-08-05,40.1852
2005-07-29,39.8399
2005-07-22,39.2786
2005-07-15,38.9318
2005-07-08,38.7914
2005-07-01,38.8254
2005-06-24,38.9767
2005-06-17,39.5482
2005-06-10,40.3389
2005-06-03,41.0950
2005-05-27,41.7435
2005-05-20,42.5144
2005-05-13,43.4945
2005-05-06,44.3719
2005-04-29,45.1836
2005-04-22,46.1047
2005-04-15,46.9796
2005-04-08,47.2943
2005-04-01,47.4198
2005-03-24,47.5618
2005-03-18,47.8793
2005-03-11,48.2536
2005-03-04,48.5185
2005-02-25,48.7054
2005-02-18,48.9108
2005-02-11,49.0925
2005-02-04,49.1227
2005-01-28,49.1561
2005-01-21,49.2782
2005-01-14,49.2192
2005-01-07,48.8795
2004-12-31,48.2752
2004-12-23,47.5799
2004-12-17,47.0798
2004-12-10,46.5659
2004-12-03,45.9019
2004-11-26,45.4040
2004-11-19,45.0209
2004-11-12,44.4800
2004-11-05,44.0648
2004-10-29,43.8548
2004-10-22,43.6674
2004-10-15,43.6254
2004-10-08,43.6210
2004-10-01,43.5015
2004-09-24,43.5127
2004-09-17,43.4318
2004-09-10,43.3966
2004-09-03,43.6433
2004-08-27,43.9319
2004-08-20,44.1688
2004-08-13,44.4176
2004-08-06,44.6439
2004-07-30,44.6889
2004-07-23,44.7119
2004-07-16,44.8703
2004-07-09,45.0722
2004-07-02,45.2799
2004-06-25,45.3822
2004-06-18,45.5309
2004-06-10,45.7204
2004-06-04,45.9274
2004-05-28,46.0804
2004-05-21,46.3186
2004-05-14,46.8804
2004-05-07,47.3251
2004-04-30,47.7978
2004-04-23,48.2690
2004-04-16,48.6468
2004-04-08,48.9268
2004-04-02,49.1201
2004-03-26,49.2657
2004-03-19,49.2552
2004-03-12,49.2170
2004-03-05,49.0365
2004-02-27,48.8417
2004-02-20,48.6315
2004-02-13,48.1412
2004-02-06,47.7049
2004-01-30,47.1897
2004-01-23,46.7824
2004-01-16,46.4540
2004-01-09,46.3791
2004-01-02,46.2081
2003-12-26,46.0091
2003-12-19,46.0144
2003-12-12,45.8692
2003-12-05,45.7964
2003-11-28,45.8562
2003-11-21,45.8821
2003-11-14,45.8003
2003-11-07,45.4288
2003-10-31,45.0705
2003-10-24,44.7275
2003-10-17,44.2965
2003-10-10,43.6607
2003-10-03,43.2929
2003-09-26,42.9770
2003-09-19,42.6511
2003-09-12,42.3935
2003-09-05,42.1537
2003-08-29,42.2665
2003-08-22,42.2708
2003-08-15,42.1584
2003-08-08,42.5626
2003-08-01,42.7533
2003-07-25,42.9754
