time,DEMA
2011-08-12,98.7257
2011-08-05,100.1117
2011-07-29,98.6838
2011-07-22,96.3835
2011-07-15,95.5179
2011-07-08,94.2748
2011-07-01,92.9179
2011-06-24,93.0053
2011-06-17,93.6099
2011-06-10,94.2126
2011-06-03,94.9071
2011-05-27,94.8809
2011-05-20,94.7575
2011-05-13,94.2289
2011-05-06,93.8115
2011-04-29,92.4568
2011-04-21,91.6833
2011-04-15,91.3363
2011-04-08,91.1149
2011-04-01,90.5213
2011-03-25,90.3800
2011-03-18,91.0939
2011-03-11,91.1132
2011-03-04,90.9502
2011-02-25,90.4560
2011-02-18,89.4012
2011-02-11,87.7422
2011-02-04,85.6121
2011-01-28,83.8846
2011-01-21,82.4298
2011-01-14,81.8038
2011-01-07,81.4684
2010-12-31,81.0633
2010-12-23,80.9863
2010-12-17,80.7667
2010-12-10,80.4800
2010-12-03,80.1862
2010-11-26,79.9807
2010-11-19,79.5261
2010-11-12,78.8773
2010-11-05,77.5817
2010-10-29,76.3583
2010-10-22,75.4506
2010-10-15,74.0671
2010-10-08,72.6876
2010-10-01,71.6794
2010-09-24,70.7290
2010-09-17,70.2442
2010-09-10,69.9840
2010-09-03,70.0356
2010-08-27,70.5722
2010-08-20,70.6787
2010-08-13,70.8384
2010-08-06,70.2306
2010-07-30,69.9424
2010-07-23,69.8130
2010-07-16,69.5187
2010-07-09,69.4415
2010-07-02,70.2632
2010-06-25,70.3719
2010-06-18,69.5932
2010-06-11,69.2572
2010-06-04,69.5227
2010-05-28,70.0954
2010-05-21,70.7223
2010-05-14,70.2342
2010-05-07,70.6432
2010-04-30,70.5850
2010-04-23,70.4030
2010-04-16,69.9945
2010-04-09,69.8730
2010-04-01,69.7451
2010-03-26,69.3403
2010-03-19,69.3194
2010-03-12,69.2138
2010-03-05,69.1471
2010-02-26,68.9438
2010-02-19,68.7134
2010-02-12,68.9786
2010-02-05,69.7543
2010-01-29,70.8955
2010-01-22,71.6518
2010-01-15,71.3487
2010-01-08,71.0345
2009-12-31,70.5377
2009-12-24,69.8707
2009-12-18,69.7001
2009-12-11,68.9795
2009-12-04,68.6359
2009-11-27,68.5547
2009-11-20,67.7765
2009-11-13,66.8142
2009-11-06,66.2656
2009-10-30,66.4185
2009-10-23,66.5822
