time,TRIMA
2013-06-28,120.1416
2013-06-21,119.7608
2013-06-14,119.1822
2013-06-07,118.7647
2013-05-31,118.7740
2013-05-24,119.4887
2013-05-17,120.5319
2013-05-10,121.4203
2013-05-03,122.0150
2013-04-26,122.2013
2013-04-19,121.8092
2013-04-12,120.8623
2013-04-05,119.9504
2013-03-28,119.0065
2013-03-22,118.1120
2013-03-15,117.2866
2013-03-08,116.4031
2013-03-01,115.4215
2013-02-22,114.3621
2013-02-15,113.4485
2013-02-08,112.6512
2013-02-01,112.0800
2013-01-25,111.7131
2013-01-18,111.5418
2013-01-11,111.4080
2013-01-04,111.3485
2012-12-28,111.3481
2012-12-21,111.6605
2012-12-14,112.4288
2012-12-07,113.5331
2012-11-30,114.8477
2012-11-23,116.3294
2012-11-16,117.6200
2012-11-09,118.2761
2012-11-02,118.3681
2012-10-26,118.0740
2012-10-19,117.4535
2012-10-12,116.5757
2012-10-05,115.8596
2012-09-28,115.2289
2012-09-21,114.4852
2012-09-14,113.6526
2012-09-07,112.9028
2012-08-31,112.1075
2012-08-24,111.4838
2012-08-17,111.2459
2012-08-10,111.2686
2012-08-03,111.4420
2012-07-27,111.7289
2012-07-20,112.1349
2012-07-13,112.5161
2012-07-06,113.0220
2012-06-29,113.6099
2012-06-22,114.3717
2012-06-15,115.1359
2012-06-08,115.9506
2012-06-01,116.6353
2012-05-25,117.1330
2012-05-18,117.5223
2012-05-11,117.6439
2012-05-04,117.4625
2012-04-27,116.9415
2012-04-20,116.1879
2012-04-13,115.1083
2012-04-05,113.9158
2012-03-30,112.6551
2012-03-23,111.3583
2012-03-16,110.0787
2012-03-09,108.9271
2012-03-02,107.8672
2012-02-24,106.9284
2012-02-17,106.4269
2012-02-10,106.3663
2012-02-03,106.4555
2012-01-27,106.6238
2012-01-20,106.9655
2012-01-13,107.2162
2012-01-06,107.0926
2011-12-30,106.7610
2011-12-23,106.6126
2011-12-16,106.3631
2011-12-09,105.7991
2011-12-02,105.1129
2011-11-25,104.3191
2011-11-18,102.9905
2011-11-11,101.1762
2011-11-04,99.4218
2011-10-28,97.7101
2011-10-21,96.3111
2011-10-14,95.3152
2011-10-07,95.2468
2011-09-30,95.7947
2011-09-23,96.6539
2011-09-16,97.7490
2011-09-09,98.8838
2011-09-02,99.5248
2011-08-26,99.4278
2011-08-19,98.8988
2011-08-12,97.9385
2011-08-05,96.8289
2011-07-29,95.6987
2011-07-22,95.0033
2011-07-15,94.7646
2011-07-08,94.8454
2011-07-01,95.0891
2011-06-24,95.3406
2011-06-17,95.4042
2011-06-10,95.2632
2011-06-03,94.8483
2011-05-27,94.1201
2011-05-20,93.3554
2011-05-13,92.6443
2011-05-06,92.0286
2011-04-29,91.5400
2011-04-21,91.3739
2011-04-15,91.4393
2011-04-08,91.5129
2011-04-01,91.4791
2011-03-25,91.2140
2011-03-18,90.5870
2011-03-11,89.5202
2011-03-04,88.1466
2011-02-25,86.6420
2011-02-18,85.1918
2011-02-11,83.9546
2011-02-04,82.9719
2011-01-28,82.2849
2011-01-21,81.8335
2011-01-14,81.5743
2011-01-07,81.3742
2010-12-31,81.1611
2010-12-23,80.9472
2010-12-17,80.6471
2010-12-10,80.1740
2010-12-03,79.5076
2010-11-26,78.6799
2010-11-19,77.6930
2010-11-12,76.5554
2010-11-05,75.3354
2010-10-29,74.2055
2010-10-22,73.2132
2010-10-15,72.4514
2010-10-08,71.9491
2010-10-01,71.7133
2010-09-24,71.6758
2010-09-17,71.7355
2010-09-10,71.7009
2010-09-03,71.5961
2010-08-27,71.5213
2010-08-20,71.3973
2010-08-13,71.2313
2010-08-06,71.0996
2010-07-30,71.0697
2010-07-23,71.0558
2010-07-16,70.9401
2010-07-09,70.8861
2010-07-02,70.9472
2010-06-25,71.0703
2010-06-18,71.1860
2010-06-11,71.3423
2010-06-04,71.5384
2010-05-28,71.6270
2010-05-21,71.5788
2010-05-14,71.4202
2010-05-07,71.2970
2010-04-30,71.1100
2010-04-23,70.8840
2010-04-16,70.6284
2010-04-09,70.3468
2010-04-01,70.0611
2010-03-26,69.8607
2010-03-19,69.8002
2010-03-12,69.9180
2010-03-05,70.2573
2010-02-26,70.7047
2010-02-19,71.1478
2010-02-12,71.4448
2010-02-05,71.5274
2010-01-29,71.4118
2010-01-22,71.1417
2010-01-15,70.7390
2010-01-08,70.2475
2009-12-31,69.7401
2009-12-24,69.2249
2009-12-18,68.7283
2009-12-11,68.1411
2009-12-04,67.6577
2009-11-27,67.3074
2009-11-20,66.9626
2009-11-13,66.5997
2009-11-06,66.2459
2009-10-30,65.9832
2009-10-23,65.6427
2009-10-16,65.3158
2009-10-09,65.0833
2009-10-02,64.9756
2009-09-25,64.7922
2009-09-18,64.3287
2009-09-11,63.6318
2009-09-04,62.6783
2009-08-28,61.5029
2009-08-21,60.2145
2009-08-14,59.1324
2009-08-07,58.4394
2009-07-31,57.9741
2009-07-24,57.6861
2009-07-17,57.4934
2009-07-10,57.3914
2009-07-02,57.0484
2009-06-26,56.5790
2009-06-19,56.1539
2009-06-12,55.7737
2009-06-05,55.2722
2009-05-29,54.6987
2009-05-22,54.1059
2009-05-15,53.2588
2009-05-08,52.2759
2009-05-01,51.2572
2009-04-24,50.4434
2009-04-17,49.8202
2009-04-09,49.4580
2009-04-03,49.3447
2009-03-27,49.3176
2009-03-20,49.2016
2009-03-13,48.9407
2009-03-06,48.4361
2009-02-27,47.7157
2009-02-20,46.9884
2009-02-13,46.3154
2009-02-06,45.6815
2009-01-30,45.1203
2009-01-23,44.6496
2009-01-16,44.3952
2009-01-09,44.3535
2009-01-02,44.3271
2008-12-26,44.6872
2008-12-19,45.3450
2008-12-12,46.3008
2008-12-05,47.6027
2008-11-28,49.4179
2008-11-21,51.6694
2008-11-14,54.1279
2008-11-07,56.7855
2008-10-31,59.3413
2008-10-24,61.5964
2008-10-17,63.4007
2008-10-10,64.9381
2008-10-03,66.0585
2008-09-26,66.8772
2008-09-19,67.4768
2008-09-12,67.7658
2008-09-05,67.6989
2008-08-29,67.3995
2008-08-22,66.9443
2008-08-15,66.4660
2008-08-08,66.2422
2008-08-01,66.2567
2008-07-25,66.4761
2008-07-18,66.7496
2008-07-11,67.0457
2008-07-03,67.1672
2008-06-27,67.0831
2008-06-20,66.7134
2008-06-13,66.1189
2008-06-06,65.3972
2008-05-30,64.6526
2008-05-23,63.8574
2008-05-16,63.0512
2008-05-09,62.4179
2008-05-02,61.8142
2008-04-25,61.1576
2008-04-18,60.3996
2008-04-11,59.7114
2008-04-04,58.8984
2008-03-28,57.9675
2008-03-20,57.1093
2008-03-14,56.4086
2008-03-07,55.9028
2008-02-29,55.6090
2008-02-22,55.6049
2008-02-15,55.8303
2008-02-08,56.1852
2008-02-01,56.5062
2008-01-25,56.6904
2008-01-18,56.6925
2008-01-11,56.6854
2008-01-04,56.7501
2007-12-28,56.8338
2007-12-21,57.2375
2007-12-14,58.0076
2007-12-07,58.8837
2007-11-30,59.7117
2007-11-23,60.4630
2007-11-16,61.0729
2007-11-09,61.4532
2007-11-02,61.5073
2007-10-26,61.4111
2007-10-19,61.2317
2007-10-12,60.9055
2007-10-05,60.5912
2007-09-28,60.2986
2007-09-21,60.0397
2007-09-14,59.8046
2007-09-07,59.4840
2007-08-31,59.0523
2007-08-24,58.4714
2007-08-17,57.7639
2007-08-10,57.0652
2007-08-03,56.4517
2007-07-27,55.9967
2007-07-20,55.7430
2007-07-13,55.6497
2007-07-06,55.5550
2007-06-29,55.3131
2007-06-22,54.8474
2007-06-15,54.1672
2007-06-08,53.3328
2007-06-01,52.3973
2007-05-25,51.5391
2007-05-18,50.8375
2007-05-11,50.2481
2007-05-04,49.8893
2007-04-27,49.7422
2007-04-20,49.7903
2007-04-13,49.9609
2007-04-05,50.2939
2007-03-30,50.7050
