time,Real Lower Band,Real Middle Band,Real Upper Band
2019-07-05,93.3255,99.5600,105.7945
2019-06-28,88.1547,97.4744,106.7941
2019-06-21,88.0156,96.6599,105.3042
2019-06-14,89.7001,95.9526,102.2052
2019-06-07,89.6530,95.9773,102.3016
2019-05-31,88.3920,96.7427,105.0933
2019-05-24,93.3063,98.3080,103.3098
2019-05-17,95.3535,99.2342,103.1149
2019-05-10,95.3178,100.4404,105.5630
2019-05-03,97.2205,101.3484,105.4764
2019-04-26,97.5249,101.4702,105.4155
2019-04-18,97.5316,101.4716,105.4116
2019-04-12,97.0531,101.3427,105.6324
2019-04-05,94.2393,100.0165,105.7937
2019-03-29,95.1336,99.4322,103.7308
2019-03-22,95.5156,99.1672,102.8189
2019-03-15,95.4580,98.9639,102.4697
2019-03-08,93.3008,98.1446,102.9885
2019-03-01,91.6524,97.7791,103.9058
2019-02-22,90.6169,96.8065,102.9962
2019-02-15,83.3454,94.3901,105.4348
2019-02-08,79.3877,91.8143,104.2409
2019-02-01,74.8785,89.2712,103.6638
2019-01-25,71.2987,86.2887,101.2788
2019-01-18,72.6924,83.0289,93.3653
2019-01-11,73.9925,82.4740,90.9555
2019-01-04,74.6685,82.1739,89.6793
2018-12-28,72.8433,83.1577,93.4720
2018-12-21,74.5071,83.7465,92.9859
2018-12-14,80.2259,85.2512,90.2765
2018-12-07,80.1830,85.7664,91.3498
2018-11-30,76.8481,85.0412,93.2343
2018-11-23,77.1375,84.8929,92.6483
2018-11-16,77.1117,86.3491,95.5865
2018-11-09,71.7179,88.8277,105.9374
2018-11-02,67.4464,92.1707,116.8950
2018-10-26,75.0885,97.1382,119.1879
2018-10-19,82.9923,100.8505,118.7087
2018-10-12,95.4890,103.5383,111.5876
2018-10-05,99.6426,104.1813,108.7199
2018-09-28,98.7880,103.8248,108.8617
2018-09-21,98.6172,103.1022,107.5873
2018-09-14,100.2973,102.3628,104.4284
2018-09-07,100.3708,101.8247,103.2786
2018-08-31,100.4581,101.9177,103.3773
2018-08-24,99.3418,101.5142,103.6866
2018-08-17,99.3125,101.3380,103.3635
2018-08-10,99.3655,101.0969,102.8283
2018-08-03,97.0156,100.6037,104.1918
2018-07-27,94.3148,99.4975,104.6802
2018-07-20,93.5818,98.9624,104.3431
2018-07-13,93.9015,98.8297,103.7578
2018-07-06,93.8087,98.8629,103.9170
2018-06-29,93.6700,98.7896,103.9092
2018-06-22,95.4287,99.3344,103.2400
2018-06-15,96.7070,99.7215,102.7360
2018-06-08,96.7758,99.5487,102.3216
2018-06-01,97.1355,99.0237,100.9119
2018-05-25,97.6897,99.4295,101.1693
2018-05-18,97.5985,99.3855,101.1726
2018-05-11,91.3330,100.8960,110.4589
2018-05-04,91.9449,101.5583,111.1718
2018-04-27,93.9350,102.8603,111.7857
