time,TRANGE
2023-12-14,3.2825
2023-12-13,2.1092
2023-12-12,3.2343
2023-12-11,1.6077
2023-12-08,1.9292
2023-12-07,1.4138
2023-12-06,2.2176
2023-12-05,1.6550
2023-12-04,2.3642
2023-12-01,2.4493
2023-11-30,2.0711
2023-11-29,1.7590
2023-11-28,0.8369
2023-11-27,1.3098
2023-11-24,1.3996
2023-11-22,1.6975
2023-11-21,1.0875
2023-11-20,2.2035
2023-11-17,0.9834
2023-11-16,1.1537
2023-11-15,2.6669
2023-11-14,2.5593
2023-11-13,1.5793
2023-11-10,2.4115
2023-11-09,1.6171
2023-11-08,1.9590
2023-11-07,1.1689
2023-11-06,1.2858
2023-11-03,1.3419
2023-11-02,2.1133
2023-11-01,1.9263
2023-10-31,2.0292
2023-10-30,1.8515
2023-10-27,2.7960
2023-10-26,6.8543
2023-10-25,2.0198
2023-10-24,1.8048
2023-10-23,1.6925
2023-10-20,2.0105
2023-10-19,1.9076
2023-10-18,0.7948
2023-10-17,4.0303
2023-10-16,1.2343
2023-10-13,2.7773
2023-10-12,2.1320
2023-10-11,1.1502
2023-10-10,1.5850
2023-10-09,1.6084
2023-10-06,2.6463
2023-10-05,1.4120
2023-10-04,1.1319
2023-10-03,1.5336
2023-10-02,1.4868
2023-09-29,2.3565
2023-09-28,2.7726
2023-09-27,1.9263
2023-09-26,3.2354
2023-09-25,1.1034
2023-09-22,1.1969
2023-09-21,2.3565
2023-09-20,5.0588
2023-09-19,1.9263
2023-09-18,1.3278
2023-09-15,2.1694
2023-09-14,1.1689
2023-09-13,0.9912
2023-09-12,2.4126
2023-09-11,1.1221
2023-09-08,1.2437
2023-09-07,1.2904
2023-09-06,1.1315
2023-09-05,1.3354
2023-09-01,1.1876
2023-08-31,1.1104
2023-08-30,1.0986
2023-08-29,1.0380
2023-08-28,1.4307
2023-08-25,1.8422
2023-08-24,1.1689
2023-08-23,1.8562
2023-08-22,1.8001
2023-08-21,1.1969
2023-08-18,1.9357
2023-08-17,1.9263
2023-08-16,1.4307
2023-08-15,1.0380
2023-08-14,1.4616
2023-08-11,1.1642
2023-08-10,1.9544
2023-08-09,2.4687
2023-08-08,1.9134
2023-08-07,2.0890
2023-08-04,1.9411
2023-08-03,1.7640
2023-08-02,1.8394
2023-08-01,2.1352
2023-07-31,1.0676
2023-07-28,1.0168
2023-07-27,2.1352
2023-07-26,1.2663
2023-07-25,1.2846
2023-07-24,1.2397
2023-07-21,1.8671
2023-07-20,4.4738
2023-07-19,1.1647
2023-07-18,1.5806
2023-07-17,1.3957
2023-07-14,0.9058
2023-07-13,2.0613
2023-07-12,2.5465
2023-07-11,1.5344
2023-07-10,1.2525
