time,ATR
2010-05-28,1.6376
2010-05-27,1.6751
2010-05-26,1.6709
2010-05-25,1.6756
2010-05-24,1.6579
2010-05-21,1.7020
2010-05-20,1.6556
2010-05-19,1.5648
2010-05-18,1.5723
2010-05-17,1.6053
2010-05-14,1.5999
2010-05-13,1.6277
2010-05-12,1.6582
2010-05-11,1.5347
2010-05-10,1.5150
2010-05-07,1.4391
2010-05-06,1.3649
2010-05-05,0.9674
2010-05-04,0.9849
2010-05-03,0.9339
2010-04-30,0.9496
2010-04-29,0.9474
2010-04-28,0.9737
2010-04-27,0.9795
2010-04-26,0.9170
2010-04-23,0.9247
2010-04-22,0.9376
2010-04-21,0.9431
2010-04-20,0.9415
2010-04-19,0.8476
2010-04-16,0.8332
2010-04-15,0.8168
2010-04-14,0.8353
2010-04-13,0.7994
2010-04-12,0.7940
2010-04-09,0.8251
2010-04-08,0.8153
2010-04-07,0.8243
2010-04-06,0.8350
2010-04-05,0.8447
2010-04-01,0.8402
2010-03-31,0.8310
2010-03-30,0.8480
2010-03-29,0.8764
2010-03-26,0.8730
2010-03-25,0.8958
2010-03-24,0.8725
2010-03-23,0.8776
2010-03-22,0.8701
2010-03-19,0.8608
2010-03-18,0.8369
2010-03-17,0.8468
2010-03-16,0.8462
2010-03-15,0.8514
2010-03-12,0.8725
2010-03-11,0.9036
2010-03-10,0.8813
2010-03-09,0.9009
2010-03-08,0.9195
2010-03-05,0.9425
2010-03-04,0.9802
2010-03-03,0.9886
2010-03-02,1.0085
2010-03-01,1.0039
2010-02-26,1.0112
2010-02-25,1.0362
2010-02-24,1.0312
2010-02-23,1.0347
2010-02-22,1.0448
2010-02-19,1.0782
2010-02-18,1.1114
2010-02-17,1.1131
2010-02-16,1.1434
2010-02-12,1.1798
2010-02-11,1.1683
2010-02-10,1.1685
2010-02-09,1.1981
2010-02-08,1.1931
2010-02-05,1.2228
2010-02-04,1.2381
2010-02-03,1.2182
2010-02-02,1.2702
2010-02-01,1.2903
2010-01-29,1.2828
2010-01-28,1.2521
2010-01-27,1.1820
2010-01-26,1.1929
2010-01-25,1.1870
2010-01-22,1.2202
2010-01-21,1.1626
2010-01-20,1.1423
2010-01-19,1.0137
2010-01-15,0.9795
2010-01-14,0.9798
2010-01-13,0.9383
2010-01-12,0.9288
2010-01-11,0.9030
2010-01-08,0.8728
2010-01-07,0.8619
2010-01-06,0.8724
2010-01-05,0.8694
2010-01-04,0.8382
2009-12-31,0.8143
2009-12-30,0.7893
2009-12-29,0.7666
2009-12-28,0.8018
2009-12-24,0.7909
2009-12-23,0.8063
2009-12-22,0.8391
2009-12-21,0.8482
2009-12-18,0.8609
2009-12-17,0.8692
2009-12-16,0.8697
2009-12-15,0.8845
2009-12-14,0.8695
2009-12-11,0.9205
2009-12-10,0.9471
2009-12-09,0.9624
2009-12-08,0.9414
2009-12-07,0.9641
2009-12-04,0.9991
2009-12-03,0.9550
2009-12-02,0.9759
2009-12-01,0.9997
2009-11-30,0.9915
2009-11-27,0.9977
2009-11-25,0.9484
2009-11-24,0.9739
2009-11-23,0.9995
2009-11-20,0.9938
2009-11-19,1.0190
2009-11-18,1.0290
2009-11-17,1.0631
2009-11-16,1.0925
2009-11-13,1.1261
2009-11-12,1.1485
2009-11-11,1.1726
2009-11-10,1.2060
2009-11-09,1.2204
2009-11-06,1.2096
2009-11-05,1.2408
2009-11-04,1.2444
2009-11-03,1.2845
2009-11-02,1.3144
2009-10-30,1.3146
2009-10-29,1.2571
2009-10-28,1.2903
2009-10-27,1.3144
2009-10-26,1.2913
2009-10-23,1.2706
2009-10-22,1.2413
2009-10-21,1.2263
2009-10-20,1.1857
2009-10-19,1.1939
2009-10-16,1.2130
2009-10-15,1.0269
2009-10-14,1.0216
2009-10-13,1.0167
2009-10-12,1.0455
2009-10-09,1.0470
2009-10-08,0.9735
2009-10-07,1.0014
2009-10-06,0.9991
2009-10-05,0.9996
2009-10-02,0.9914
2009-10-01,0.9680
2009-09-30,0.9573
2009-09-29,0.9292
2009-09-28,0.9450
2009-09-25,0.8907
2009-09-24,0.8948
2009-09-23,0.9117
2009-09-22,0.8976
2009-09-21,0.9197
2009-09-18,0.9394
2009-09-17,0.9593
2009-09-16,0.9612
2009-09-15,0.9231
2009-09-14,0.9405
2009-09-11,0.9277
2009-09-10,0.9252
2009-09-09,0.9515
2009-09-08,0.9620
2009-09-04,0.9720
2009-09-03,0.9932
2009-09-02,1.0040
2009-09-01,1.0298
2009-08-31,1.0081
2009-08-28,1.0317
2009-08-27,1.0089
2009-08-26,1.0142
2009-08-25,0.9951
2009-08-24,1.0118
2009-08-21,1.0157
2009-08-20,1.0332
2009-08-19,1.0583
2009-08-18,1.0297
2009-08-17,1.0561
2009-08-14,1.0394
2009-08-13,1.0313
2009-08-12,1.0629
2009-08-11,1.0392
2009-08-10,1.0618
2009-08-07,1.0870
2009-08-06,1.0656
2009-08-05,1.0769
2009-08-04,1.0879
2009-08-03,1.1344
2009-07-31,1.1377
2009-07-30,1.1661
2009-07-29,1.1686
2009-07-28,1.2077
2009-07-27,1.2473
2009-07-24,1.2874
2009-07-23,1.3236
2009-07-22,1.3039
2009-07-21,1.3170
2009-07-20,1.3497
2009-07-17,1.3506
2009-07-16,1.2524
2009-07-15,1.1760
2009-07-14,1.1023
2009-07-13,1.1417
2009-07-10,1.0865
2009-07-09,1.0758
2009-07-08,1.0718
2009-07-07,1.0852
2009-07-06,1.0889
2009-07-02,1.0999
2009-07-01,1.0560
2009-06-30,1.0607
2009-06-29,1.0506
2009-06-26,1.0892
2009-06-25,1.1131
2009-06-24,1.0634
2009-06-23,1.0311
2009-06-22,1.0658
2009-06-19,1.0791
2009-06-18,1.1146
2009-06-17,1.1421
2009-06-16,1.1886
2009-06-15,1.2027
2009-06-12,1.2295
2009-06-11,1.2559
2009-06-10,1.2579
2009-06-09,1.2625
2009-06-08,1.2914
2009-06-05,1.2882
2009-06-04,1.3018
2009-06-03,1.3494
2009-06-02,1.3821
2009-06-01,1.4000
2009-05-29,1.4089
2009-05-28,1.4119
2009-05-27,1.4188
2009-05-26,1.4346
2009-05-22,1.3544
2009-05-21,1.3941
2009-05-20,1.4058
2009-05-19,1.4243
2009-05-18,1.4462
2009-05-15,1.4194
2009-05-14,1.4253
2009-05-13,1.4547
2009-05-12,1.4596
2009-05-11,1.4888
2009-05-08,1.4823
2009-05-07,1.4343
