time,ULTOSC
2023-06-06,67.0761
2023-06-05,61.5447
2023-06-02,63.1829
2023-06-01,60.4325
2023-05-31,56.0945
2023-05-30,56.3609
2023-05-26,58.2134
2023-05-25,56.6286
2023-05-24,55.2195
2023-05-23,65.9222
2023-05-22,62.5691
2023-05-19,64.0788
2023-05-18,63.6628
2023-05-17,62.7485
2023-05-16,59.0953
2023-05-15,56.7487
2023-05-12,50.7190
2023-05-11,46.8486
2023-05-10,48.1285
2023-05-09,44.1637
2023-05-08,47.8295
2023-05-05,46.7862
2023-05-04,47.3226
2023-05-03,48.0225
2023-05-02,53.0077
2023-05-01,41.5703
2023-04-28,42.7189
2023-04-27,43.1189
2023-04-26,39.1155
2023-04-25,38.5485
2023-04-24,39.2766
2023-04-21,36.8673
2023-04-20,37.6845
2023-04-19,46.9939
2023-04-18,44.2756
2023-04-17,46.0248
2023-04-14,47.2592
2023-04-13,51.9181
2023-04-12,51.7604
2023-04-11,51.1848
2023-04-10,52.1755
2023-04-06,48.6895
2023-04-05,59.0685
2023-04-04,62.9531
2023-04-03,60.8204
2023-03-31,53.7857
2023-03-30,49.6234
2023-03-29,56.4519
2023-03-28,55.1278
2023-03-27,57.7968
2023-03-24,51.8866
2023-03-23,46.5405
2023-03-22,45.8911
2023-03-21,50.0245
2023-03-20,46.0489
2023-03-17,41.0707
2023-03-16,38.3412
2023-03-15,32.4998
2023-03-14,32.3898
2023-03-13,33.6022
2023-03-10,33.8886
2023-03-09,35.4397
2023-03-08,38.2444
2023-03-07,41.7284
2023-03-06,50.0404
2023-03-03,50.4732
2023-03-02,44.0417
2023-03-01,42.0847
2023-02-28,42.3034
2023-02-27,47.2200
2023-02-24,49.0724
2023-02-23,50.2709
2023-02-22,51.8596
2023-02-21,50.8456
2023-02-17,59.3797
2023-02-16,59.4119
2023-02-15,62.6391
2023-02-14,59.2236
2023-02-13,62.9485
2023-02-10,61.1382
2023-02-09,57.0153
2023-02-08,61.7787
2023-02-07,60.0769
2023-02-06,47.8794
2023-02-03,47.4280
2023-02-02,46.0902
2023-02-01,43.6501
