time,ROC
2023-07-19,0.9237
2023-07-18,1.2643
2023-07-17,0.3214
2023-07-14,-0.4923
2023-07-13,1.6393
2023-07-12,0.3778
2023-07-11,2.3603
2023-07-10,2.6810
2023-07-07,0.6938
2023-07-06,-1.1444
2023-07-05,-1.2651
2023-07-03,-2.7713
2023-06-30,-3.3165
2023-06-29,-2.2886
2023-06-28,-4.2442
2023-06-27,-2.9908
2023-06-26,-2.9268
2023-06-23,-3.7051
2023-06-22,-2.3887
2023-06-21,0.7536
2023-06-20,2.5030
2023-06-16,3.8212
2023-06-15,6.6092
2023-06-14,6.6957
2023-06-13,6.2712
2023-06-12,5.8422
2023-06-09,6.7371
2023-06-08,6.9462
2023-06-07,4.8369
2023-06-06,4.0706
2023-06-05,4.2276
2023-06-02,4.9703
2023-06-01,3.2694
2023-05-31,4.1552
2023-05-30,4.9611
2023-05-26,4.9251
2023-05-25,4.8470
2023-05-24,2.9995
2023-05-23,5.7853
2023-05-22,4.7380
2023-05-19,4.3295
2023-05-18,4.3308
2023-05-17,3.2258
2023-05-16,-0.0069
2023-05-15,-0.8248
2023-05-12,-1.4929
2023-05-11,-3.4762
2023-05-10,-1.7150
2023-05-09,-2.4307
2023-05-08,-1.5949
2023-05-05,-1.6543
2023-05-04,-2.9994
2023-05-03,-2.2720
2023-05-02,-2.0504
2023-05-01,-1.3535
2023-04-28,-1.3501
2023-04-27,-0.7271
2023-04-26,-2.0927
2023-04-25,-3.4734
2023-04-24,-4.2967
2023-04-21,-3.6552
2023-04-20,-4.3741
2023-04-19,-4.0122
2023-04-18,-3.2410
2023-04-17,-2.4945
2023-04-14,-0.8358
2023-04-13,-1.3954
2023-04-12,-0.6185
2023-04-11,0.8584
2023-04-10,4.5814
2023-04-06,5.7794
2023-04-05,6.5216
2023-04-04,3.9741
2023-04-03,4.8595
2023-03-31,5.9827
2023-03-30,3.6247
2023-03-29,5.2158
2023-03-28,3.7625
2023-03-27,2.9702
2023-03-24,-0.1275
2023-03-23,-2.2115
2023-03-22,-3.1238
2023-03-21,-1.3099
2023-03-20,-3.2645
2023-03-17,-4.5896
2023-03-16,-3.2809
2023-03-15,-3.8303
2023-03-14,-3.5963
2023-03-13,-3.7627
2023-03-10,-3.9213
2023-03-09,-3.5400
2023-03-08,-2.2295
2023-03-07,-2.6270
2023-03-06,-3.5772
2023-03-03,-3.9704
2023-03-02,-5.4765
2023-03-01,-5.7496
2023-02-28,-5.8609
2023-02-27,-3.7684
2023-02-24,-2.3776
2023-02-23,-2.6302
2023-02-22,-2.3957
2023-02-21,-2.0893
2023-02-17,-0.1857
2023-02-16,0.2019
2023-02-15,2.2153
2023-02-14,2.1954
2023-02-13,2.7675
2023-02-10,2.1451
2023-02-09,0.7066
2023-02-08,-3.3959
2023-02-07,-3.9932
2023-02-06,-4.0039
2023-02-03,-3.0170
2023-02-02,-3.0081
2023-02-01,-3.7889
2023-01-31,-7.2044
2023-01-30,-7.2589
2023-01-27,-7.6675
2023-01-26,-7.4418
2023-01-25,-2.7901
2023-01-24,-1.4350
2023-01-23,-1.2804
2023-01-20,0.0638
2023-01-19,-1.3885
2023-01-18,-0.8054
2023-01-17,3.0520
2023-01-13,3.4241
2023-01-12,3.9494
2023-01-11,1.9941
2023-01-10,2.2238
2023-01-09,1.8952
2023-01-06,1.0975
2023-01-05,-0.1203
2023-01-04,2.6860
2023-01-03,0.9917
2022-12-30,-1.0326
2022-12-29,-5.8721
2022-12-28,-7.0067
2022-12-27,-4.5506
2022-12-23,-3.6722
2022-12-22,-4.6691
2022-12-21,-3.4834
2022-12-20,-4.2169
2022-12-19,-5.7934
2022-12-16,-5.7241
2022-12-15,-4.5589
2022-12-14,0.6447
2022-12-13,2.7852
2022-12-12,2.0728
2022-12-09,-0.8897
2022-12-08,-0.6521
2022-12-07,-1.2274
2022-12-06,0.5590
2022-12-05,-0.1558
2022-12-02,1.7660
2022-12-01,3.2106
2022-11-30,3.1592
2022-11-29,1.5881
2022-11-28,2.1024
2022-11-25,5.0556
2022-11-23,8.2684
2022-11-22,7.7482
2022-11-21,7.3020
2022-11-18,9.0925
2022-11-17,9.9461
2022-11-16,6.8886
2022-11-15,5.6972
2022-11-14,5.5259
2022-11-11,4.6057
2022-11-10,6.0519
2022-11-09,2.9850
2022-11-08,5.3487
2022-11-07,4.2580
2022-11-04,5.4349
2022-11-03,4.8090
2022-11-02,11.6888
2022-11-01,12.4126
2022-10-31,13.8002
2022-10-28,15.3865
2022-10-27,10.6577
2022-10-26,14.8337
2022-10-25,12.8438
2022-10-24,12.6879
2022-10-21,9.3250
2022-10-20,4.9660
2022-10-19,-2.5688
2022-10-18,-2.0398
2022-10-17,0.0082
2022-10-14,1.0353
2022-10-13,0.1315
2022-10-12,-4.2278
2022-10-11,-3.2364
2022-10-10,-3.4915
2022-10-07,-3.1701
2022-10-06,-2.4579
2022-10-05,0.6484
2022-10-04,-0.6334
2022-10-03,-4.8696
2022-09-30,-6.6473
2022-09-29,-3.0759
2022-09-28,-3.8609
2022-09-27,-4.3301
2022-09-26,-6.6202
2022-09-23,-5.0159
2022-09-22,-2.4597
2022-09-21,-2.1768
2022-09-20,-0.3314
2022-09-19,-0.0470
2022-09-16,-1.8433
2022-09-15,-2.3044
2022-09-14,-1.4586
2022-09-13,-2.3482
2022-09-12,0.2148
2022-09-09,-3.5752
2022-09-08,-3.5728
2022-09-07,-5.2175
2022-09-06,-6.5142
2022-09-02,-7.6462
2022-09-01,-6.7664
2022-08-31,-6.7784
2022-08-30,-5.1113
2022-08-29,-3.4240
2022-08-26,-2.7088
2022-08-25,1.0865
2022-08-24,1.3156
2022-08-23,4.0704
2022-08-22,3.5197
2022-08-19,5.7770
2022-08-18,6.9905
2022-08-17,5.4451
2022-08-16,4.9240
2022-08-15,3.4911
2022-08-12,3.7678
2022-08-11,3.8764
2022-08-10,3.1412
2022-08-09,2.3735
2022-08-08,3.1663
2022-08-05,3.2982
2022-08-04,3.5313
2022-08-03,2.4462
2022-08-02,0.7106
2022-08-01,-4.4089
2022-07-29,-6.5252
2022-07-28,-7.0761
2022-07-27,-5.8755
2022-07-26,-7.9753
2022-07-25,-8.8369
2022-07-22,-8.6994
2022-07-21,-9.7138
2022-07-20,-6.4455
2022-07-19,-4.8975
2022-07-18,-2.1188
2022-07-15,-0.8995
2022-07-14,-1.1726
2022-07-13,-3.2990
2022-07-12,-2.5350
2022-07-11,-0.7462
2022-07-08,1.4663
2022-07-07,2.7356
2022-07-06,0.1668
2022-07-05,1.9256
2022-07-01,4.0171
2022-06-30,3.0133
2022-06-29,3.6767
2022-06-28,4.9959
2022-06-27,4.8535
2022-06-24,2.9719
2022-06-23,-1.6971
2022-06-22,-3.9922
2022-06-21,-3.5204
2022-06-17,-4.3632
2022-06-16,-3.1966
2022-06-15,-1.6998
2022-06-14,-2.2472
2022-06-13,-2.9870
2022-06-10,-0.5114
2022-06-09,2.6564
2022-06-08,5.2541
2022-06-07,8.8511
2022-06-06,11.2080
2022-06-03,8.8848
2022-06-02,5.4235
2022-06-01,0.7661
2022-05-31,2.8216
2022-05-27,4.2440
2022-05-26,3.0023
2022-05-25,2.7839
2022-05-24,3.6165
2022-05-23,-2.4323
2022-05-20,-5.5300
2022-05-19,-3.4349
2022-05-18,-2.0585
2022-05-17,5.6959
2022-05-16,2.7415
2022-05-13,2.2916
2022-05-12,-0.8906
2022-05-11,-2.0030
2022-05-10,-4.0202
2022-05-09,-2.1639
2022-05-06,-0.4195
2022-05-05,-2.8102
2022-05-04,-0.6651
2022-05-03,2.6094
2022-05-02,5.4450
2022-04-29,4.4643
2022-04-28,7.6106
2022-04-27,7.2075
2022-04-26,7.7708
2022-04-25,8.9016
2022-04-22,7.5457
2022-04-21,8.0841
2022-04-20,7.3163
2022-04-19,-0.8598
2022-04-18,-3.0580
2022-04-14,-2.6611
2022-04-13,-4.5334
2022-04-12,-4.5172
2022-04-11,-3.8792
2022-04-08,-2.7560
2022-04-07,-0.5416
2022-04-06,0.8496
2022-04-05,-0.1317
2022-04-04,1.6940
2022-04-01,1.0795
2022-03-31,1.6099
2022-03-30,4.0066
2022-03-29,5.0143
2022-03-28,6.0755
2022-03-25,5.9616
2022-03-24,3.9405
2022-03-23,1.6479
2022-03-22,2.6894
2022-03-21,1.6102
2022-03-18,1.6901
2022-03-17,1.6120
2022-03-16,2.5674
2022-03-15,3.5352
2022-03-14,1.1673
2022-03-11,-0.1772
2022-03-10,1.9513
2022-03-09,3.3997
2022-03-08,1.4203
2022-03-07,1.3832
2022-03-04,1.3203
