time,APO
2022-12-05,4.3511
2022-12-02,4.6275
2022-12-01,4.8312
2022-11-30,5.0758
2022-11-29,5.2618
2022-11-28,5.4952
2022-11-25,5.5076
2022-11-23,5.7038
2022-11-22,5.7439
2022-11-21,5.7161
2022-11-18,5.6521
2022-11-17,5.6644
2022-11-16,5.9854
2022-11-15,6.3687
2022-11-14,6.7773
2022-11-11,6.8775
2022-11-10,6.9204
2022-11-09,6.7674
2022-11-08,6.7599
2022-11-07,6.6421
2022-11-04,6.5660
2022-11-03,6.0190
2022-11-02,5.5647
2022-11-01,4.9457
2022-10-31,4.1530
2022-10-28,3.4626
2022-10-27,2.3613
2022-10-26,1.4395
2022-10-25,0.4575
2022-10-24,-0.4111
2022-10-21,-1.0014
2022-10-20,-1.1589
2022-10-19,-1.3457
2022-10-18,-1.5822
2022-10-17,-2.1528
2022-10-14,-2.4072
2022-10-13,-2.4940
2022-10-12,-2.7004
2022-10-11,-2.6843
2022-10-10,-2.6621
2022-10-07,-2.5091
2022-10-06,-2.3855
2022-10-05,-2.3353
2022-10-04,-2.3441
2022-10-03,-2.3799
2022-09-30,-2.5116
2022-09-29,-2.3466
2022-09-28,-2.3785
2022-09-27,-2.2304
2022-09-26,-2.2471
2022-09-23,-2.3520
2022-09-22,-2.4974
2022-09-21,-2.7779
2022-09-20,-2.9081
2022-09-19,-2.9228
2022-09-16,-3.0341
2022-09-15,-3.0075
2022-09-14,-2.7863
2022-09-13,-2.6981
2022-09-12,-2.3209
2022-09-09,-2.1071
2022-09-08,-1.7463
2022-09-07,-1.2787
2022-09-06,-0.5794
2022-09-02,0.2536
2022-09-01,1.0020
2022-08-31,1.5879
2022-08-30,2.1364
2022-08-29,2.5559
2022-08-26,2.8471
2022-08-25,3.0955
2022-08-24,2.9810
2022-08-23,2.9480
2022-08-22,2.6002
2022-08-19,2.0980
2022-08-18,1.5635
2022-08-17,1.0258
2022-08-16,0.4885
2022-08-15,-0.1528
2022-08-12,-0.8261
2022-08-11,-1.4821
2022-08-10,-2.0626
2022-08-09,-2.5523
2022-08-08,-3.1005
2022-08-05,-3.7904
2022-08-04,-4.3103
2022-08-03,-4.7114
2022-08-02,-4.6409
2022-08-01,-4.3934
2022-07-29,-4.0956
2022-07-28,-3.8403
2022-07-27,-3.4025
2022-07-26,-2.7319
2022-07-25,-2.0811
2022-07-22,-1.4690
2022-07-21,-1.0015
2022-07-20,-0.5038
2022-07-19,0.1337
2022-07-18,0.6494
2022-07-15,0.7471
2022-07-14,0.7925
2022-07-13,0.9373
2022-07-12,1.1595
2022-07-11,1.0725
2022-07-08,0.8385
2022-07-07,0.7017
2022-07-06,0.3289
2022-07-05,0.1927
2022-07-01,0.2608
2022-06-30,0.1128
2022-06-29,0.0062
2022-06-28,0.0886
2022-06-27,0.2153
2022-06-24,0.4043
2022-06-23,0.5818
2022-06-22,1.0222
2022-06-21,1.4401
2022-06-17,1.7759
2022-06-16,2.2432
2022-06-15,2.6964
2022-06-14,2.9468
2022-06-13,3.0230
2022-06-10,2.9986
2022-06-09,2.8390
2022-06-08,2.5799
2022-06-07,1.9933
2022-06-06,1.4439
2022-06-03,1.0129
2022-06-02,1.0693
2022-06-01,0.8840
2022-05-31,0.5252
2022-05-27,0.1667
2022-05-26,-0.4195
2022-05-25,-0.9795
2022-05-24,-0.7458
2022-05-23,-0.2750
2022-05-20,0.1599
2022-05-19,0.8219
2022-05-18,1.0898
2022-05-17,1.2528
2022-05-16,1.0963
2022-05-13,1.2995
2022-05-12,1.4818
2022-05-11,1.7902
2022-05-10,2.3478
2022-05-09,2.9118
2022-05-06,3.3865
2022-05-05,3.6186
2022-05-04,3.2617
2022-05-03,2.6472
2022-05-02,2.2551
2022-04-29,1.8824
2022-04-28,1.5622
2022-04-27,1.1074
