time,FAMA,MAMA
2023-12-08,119.4028,131.4077
2023-12-07,119.3425,131.1879
2023-12-06,119.2830,130.9825
2023-12-05,119.2242,130.7745
2023-12-04,119.1661,130.5538
2023-12-01,119.1089,130.3337
2023-11-30,119.0525,130.1165
2023-11-29,118.9969,129.9162
2023-11-28,118.9420,129.7344
2023-11-27,118.8878,129.5580
2023-11-24,118.8342,129.3806
2023-11-22,118.7812,129.2051
2023-11-21,118.7288,129.0283
2023-11-20,118.6771,128.8614
2023-11-17,118.6259,128.6886
2023-11-16,118.5753,128.5280
2023-11-15,118.5253,128.3642
2023-11-14,118.4759,128.2033
2023-11-13,118.4270,128.0615
2023-11-10,118.3786,127.9403
2023-11-09,118.3305,127.8092
2023-11-08,118.2829,127.6996
2023-11-07,118.2356,127.5913
2023-11-06,118.1885,127.4743
2023-11-03,118.1419,127.3548
2023-11-02,118.0956,127.2442
2023-11-01,118.0496,127.1409
2023-10-31,118.0039,127.0518
2023-10-30,117.9585,126.9690
2023-10-27,117.9132,126.9043
2023-10-26,117.8680,126.8400
2023-10-25,117.8229,126.7633
2023-10-24,117.7780,126.7489
2023-10-23,117.7329,126.7277
2023-10-20,117.6877,126.7196
2023-10-19,117.6423,126.7041
2023-10-18,117.5968,126.6803
2023-10-17,117.5511,126.6379
2023-10-16,117.5055,126.5916
2023-10-13,117.4598,126.5554
2023-10-12,117.4141,126.5259
2023-10-11,117.3683,126.4699
2023-10-10,117.3226,126.3945
2023-10-09,117.2770,126.3289
2023-10-06,117.2315,126.2618
2023-10-05,117.1861,126.1956
2023-10-04,117.1409,126.1336
2023-10-03,117.0957,126.0752
2023-10-02,117.0506,126.0226
2023-09-29,117.0055,125.9657
2023-09-28,116.9604,125.9128
2023-09-27,116.9155,125.8474
2023-09-26,116.8706,125.7663
2023-09-25,116.8259,125.6837
2023-09-22,116.7814,125.5696
2023-09-21,116.7372,125.4503
2023-09-20,116.6934,125.3254
2023-09-19,116.6500,125.1761
2023-09-18,116.6072,125.0566
2023-09-15,116.5647,124.9493
2023-09-14,116.5226,124.8325
2023-09-13,116.4808,124.7016
2023-09-12,116.4395,124.5770
2023-09-11,116.3986,124.4535
2023-09-08,116.3582,124.3091
2023-09-07,116.3182,124.1698
2023-09-06,116.2787,124.0306
2023-09-05,116.2398,123.8850
2023-09-01,116.2014,123.7372
2023-08-31,116.1635,123.5897
2023-08-30,116.1262,123.4512
2023-08-29,116.0894,123.3110
2023-08-28,116.0531,123.1733
2023-08-25,116.0173,123.0382
2023-08-24,115.9820,122.9081
2023-08-23,115.9472,122.7937
2023-08-22,115.9128,122.6795
2023-08-21,115.8788,122.5822
2023-08-18,115.8451,122.4765
2023-08-17,115.8118,122.3779
2023-08-16,115.7788,122.2855
2023-08-15,115.7461,122.1923
2023-08-14,115.7137,122.0865
2023-08-11,115.6817,121.9793
2023-08-10,115.6501,121.8596
2023-08-09,115.6188,121.7374
2023-08-08,115.5881,121.6212
2023-08-07,115.5578,121.4874
2023-08-04,115.5280,121.3497
2023-08-03,115.4987,121.2287
2023-08-02,115.4699,121.1045
2023-08-01,115.4416,120.9817
2023-07-31,115.4138,120.8655
2023-07-28,115.3864,120.7402
2023-07-27,115.3595,120.6205
2023-07-26,115.3330,120.5040
2023-07-25,115.3071,120.4041
2023-07-24,115.2815,120.3100
2023-07-21,115.2562,120.2224
2023-07-20,115.2312,120.1396
